,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF,RK,Year
91,"Jeff Newton, F",IND,32,33.0,50,94,1.56,1.89,0.53,92,2003
92,"Mamadou Yamar Diene, F",RICE,29,24.4,45,107,1.55,2.54,0.42,93,2003
93,"Ronny Turiaf, F",GONZ,31,24.2,48,94,1.55,2.56,0.51,94,2003
94,"Arvid Caldwell, C",TNST,26,20.3,40,75,1.54,3.02,0.53,95,2003
95,"Pervis Pasco, F",KSU,30,30.0,46,83,1.53,2.04,0.55,96,2003
96,"Christopher Sockwell, F",SFNY,30,24.1,46,98,1.53,2.54,0.47,97,2003
97,"Shelden Williams, F",DUKE,30,19.4,46,94,1.53,3.16,0.49,98,2003
98,"Rodney Carney, F",MEM,29,25.2,44,58,1.52,2.40,0.76,99,2003
99,"David Lee, F",FLA,31,26.0,47,72,1.52,2.33,0.65,100,2003
100,"Patrick Simpson, F",SMU,30,28.7,45,87,1.50,2.09,0.52,101,2003
101,"Johnathan Collins, F",RICH,28,16.0,42,52,1.50,3.75,0.81,102,2003
102,"Nick Neumann, C",FAU,28,22.4,42,92,1.50,2.68,0.46,103,2003
103,"Jason Maxiell, F",CIN,28,30.7,42,76,1.50,1.95,0.55,104,2003
104,"Steve Thomas, C",UGA,20,29.5,30,60,1.50,2.03,0.50,105,2003
105,"Mading Mading, C",SHU,2,15.0,3,7,1.50,4.00,0.43,106,2003
106,"Taurance Johnson, F",FIU,2,13.5,3,4,1.50,4.44,0.75,107,2003
107,"Sean Finn, C",DAY,29,22.0,43,87,1.48,2.70,0.49,108,2003
108,"C.J. Vick, F-C",QUIN,29,25.8,43,80,1.48,2.30,0.54,109,2003
109,"Jackson Vroman, F-C",ISU,29,30.7,43,106,1.48,1.93,0.41,110,2003
110,"Mike Wells, G",WKU,32,29.8,47,82,1.47,1.97,0.57,111,2003
111,"Thomas Gehrke, F",UTEP,15,21.7,22,45,1.47,2.71,0.49,112,2003
112,"Rawle Marshall, G",OAK,28,34.8,41,81,1.46,1.68,0.51,113,2003
113,"Noel Felix, F",FRES,28,22.9,41,95,1.46,2.56,0.43,114,2003
114,"Troy Godwin, C",VCU,28,26.1,41,88,1.46,2.24,0.47,115,2003
115,"Josh Howard, F",WAKE,29,32.3,42,83,1.45,1.79,0.51,116,2003
116,"Calvin Warner, F",JAC,23,31.7,33,46,1.43,1.81,0.72,117,2003
117,"Matt Nelson, C",CSU,30,27.1,43,63,1.43,2.12,0.68,118,2003
118,"Alaivaa Nuualiitia, F",BRWN,28,27.7,40,59,1.43,2.06,0.68,119,2003
119,"Tyrone Hayes, F",IDHO,28,29.9,40,79,1.43,1.91,0.51,120,2003
0,"Emeka Okafor, F-C",CONN,30,32.9,134,68,4.47,5.44,1.97,1,2004
1,"Anwar Ferguson, C",HOU,27,29.6,111,80,4.11,5.56,1.39,2,2004
2,"Gerrick Morris, F",USF,27,30.2,108,65,4.00,5.29,1.66,3,2004
3,"D'or Fischer, C",WVU,28,26.5,105,83,3.75,5.65,1.27,4,2004
4,"Nick Billings, C",BING,30,27.2,105,79,3.50,5.15,1.33,5,2004
5,"Moussa Badiane, C",ECU,27,25.9,90,84,3.33,5.15,1.07,6,2004
6,"Marcus Douthit, C",PROV,28,30.0,91,83,3.25,4.33,1.10,7,2004
7,"Shelden Williams, F",DUKE,32,25.8,100,103,3.13,4.84,0.97,8,2004
8,"Haminn Quaintance, F",JAC,28,32.1,84,85,3.00,3.73,0.99,9,2004
9,"Shawnson Johnson, F",UNT,23,26.9,69,73,3.00,4.47,0.95,10,2004
10,"C.J. Walker, C",UNCA,29,15.3,86,39,2.97,7.75,2.21,11,2004
11,"David Harrison, C",COLO,28,31.4,82,90,2.93,3.73,0.91,12,2004
12,"Mike Benton, C",COFC,29,25.6,82,70,2.83,4.41,1.17,13,2004
13,"Rob Dill, F",LAF,28,21.1,79,48,2.82,5.36,1.65,14,2004
14,"Herve Lamizana, F",RUTG,28,30.4,79,92,2.82,3.71,0.86,15,2004
15,"John Edwards, C",KENT,30,25.8,80,94,2.67,4.13,0.85,16,2004
16,"Josh Lewis, C",PEAY,30,29.0,79,94,2.63,3.63,0.84,17,2004
17,"Kyle Davis, C",AUB,28,22.2,71,78,2.54,4.57,0.91,18,2004
18,"Jared Homan, C",ISU,28,28.1,71,87,2.54,3.61,0.82,19,2004
19,"Jason Grant, C",LAM,28,25.6,71,92,2.54,3.97,0.77,20,2004
20,"Quincy Davis, F-C",TULN,28,25.0,67,98,2.39,3.83,0.68,21,2004
21,"Sharrod Ford, F",CLEM,28,28.7,64,85,2.29,3.19,0.75,22,2004
22,"Craig Forth, C",SYR,28,23.4,61,80,2.18,3.73,0.76,23,2004
23,"Greg Jenkins, F-C",IONA,29,27.3,63,87,2.17,3.19,0.72,24,2004
24,"Zakee Wadood, F",ETSU,32,30.8,68,108,2.13,2.76,0.63,25,2004
25,"Shema Mbyirukira, F-C",BSC,27,21.0,57,85,2.11,4.01,0.67,26,2004
26,"Channing Frye, C",ARIZ,29,30.1,61,87,2.10,2.80,0.70,27,2004
27,"Courtney Sims, C",MICH,29,21.8,61,62,2.10,3.85,0.98,28,2004
28,"Mike Bell, F",FAU,27,36.4,56,44,2.07,2.28,1.27,29,2004
29,"James Moore, F",NMSU,27,31.1,55,82,2.04,2.62,0.67,30,2004
30,"Dwayne Jones, C",JOES,28,27.3,57,80,2.04,2.99,0.71,31,2004
31,"Jason Maxiell, F",CIN,30,28.3,59,74,1.97,2.78,0.80,32,2004
32,"Sherman Gay, F",LMU,29,31.9,57,90,1.97,2.47,0.63,33,2004
33,"Tony Dixon, C",TOWS,29,21.9,57,87,1.97,3.59,0.66,34,2004
34,"Brandon Bass, F",LSU,28,34.8,55,58,1.96,2.26,0.95,35,2004
35,"Jeleel Akindele, C",CHS,32,20.1,62,124,1.94,3.86,0.50,36,2004
36,"David Simon, C",IPFW,28,31.4,54,90,1.93,2.45,0.60,37,2004
37,"Jordan Cornette, F",ND,29,30.1,55,79,1.90,2.52,0.70,38,2004
38,"Josh Boone, F-C",CONN,32,21.2,60,51,1.88,3.53,1.18,39,2004
39,"Mark Flavin, F",MAINE,30,23.3,56,85,1.87,3.21,0.66,40,2004
40,"Devon Neckles, F",SFNY,28,19.9,52,104,1.86,3.74,0.50,41,2004
41,"Albert Hacker, C",LIP,27,23.9,49,89,1.81,3.03,0.55,42,2004
42,"Joaquim Gomes, F",VALP,30,31.0,54,101,1.80,2.32,0.53,43,2004
43,"Henry Colter, F-C",COPP,29,20.4,52,91,1.79,3.51,0.57,44,2004
44,"Chris Taft, F",PITT,33,25.2,59,43,1.79,2.83,1.37,45,2004
45,"Chaz Crawford, F",DREX,28,13.5,50,65,1.79,5.31,0.77,46,2004
46,"Keith Butler, C",TEM,27,24.6,48,89,1.78,2.90,0.54,47,2004
47,"James Hughes, C",NIU,30,14.9,53,67,1.77,4.73,0.79,48,2004
48,"Stephane Lasme, F",UMASS,29,13.3,51,69,1.76,5.28,0.74,49,2004
49,"Shavlik Randolph, F",DUKE,32,19.6,56,89,1.75,3.58,0.63,50,2004
50,"Ike Diogu, F-C",ASU,27,36.9,47,78,1.74,1.89,0.60,51,2004
51,"Rob Lewin, F",TROY,30,31.2,52,90,1.73,2.22,0.58,52,2004
52,"Paul Millsap, F",LT,30,35.1,52,99,1.73,1.98,0.53,53,2004
53,"Erek Hansen, C",IOWA,21,11.5,36,42,1.71,5.98,0.86,54,2004
54,"Juan Mendez, F",NIAG,30,33.5,51,91,1.70,2.03,0.56,55,2004
55,"Cuthbert Victor, F",MURR,33,30.0,56,77,1.70,2.26,0.73,56,2004
56,"Adrian Hayes, F",NAU,28,19.6,47,83,1.68,3.42,0.57,57,2004
57,"Mory Correa, F",WYO,27,21.0,45,51,1.67,3.17,0.88,58,2004
58,"Arthur Johnson, C",MIZ,29,31.5,48,83,1.66,2.10,0.58,59,2004
59,"Charlie Villanueva, F",CONN,26,20.2,43,61,1.65,3.28,0.70,60,2004
60,"Matt Nelson, C",CSU,24,25.8,39,55,1.63,2.52,0.71,61,2004
61,"Micheal Morris, G",CSU,24,25.8,39,49,1.63,2.52,0.80,62,2004
62,"Nate Lofton, C",SELA,29,28.3,47,99,1.62,2.29,0.47,63,2004
63,"Troy Godwin, C",VCU,30,28.7,48,82,1.60,2.23,0.59,64,2004
64,"Jerald Fields, F",ETSU,32,30.0,51,103,1.59,2.12,0.50,65,2004
65,"Matt Stehle, F",HARV,27,30.9,43,105,1.59,2.06,0.41,66,2004
66,"Nate Williams, F-C",GAST,22,29.0,35,61,1.59,2.19,0.57,67,2004
67,"Kendall Dartez, C",LOU,29,23.1,46,72,1.59,2.75,0.64,68,2004
68,"Ronny Turiaf, F",GONZ,28,27.4,44,75,1.57,2.29,0.59,69,2004
69,"Jaime Kilburn, F",BRWN,27,28.3,42,77,1.56,2.20,0.55,70,2004
70,"Travon Bryant, F",MIZ,29,25.9,45,93,1.55,2.39,0.48,71,2004
71,"Hassan Adams, G",ARIZ,29,30.6,45,76,1.55,2.03,0.59,72,2004
72,"Mading Mading, C",SHU,26,12.5,40,44,1.54,4.92,0.91,73,2004
73,"Calvin Arnold, F",DART,26,26.0,40,81,1.54,2.37,0.49,74,2004
74,"Rory O'Neil, C",USC,28,24.3,43,79,1.54,2.53,0.54,75,2004
75,"Duane Erwin, F",MEM,28,21.6,43,95,1.54,2.85,0.45,76,2004
76,"Vili Morton, F",UCRV,28,27.5,43,91,1.54,2.23,0.47,77,2004
77,"Ivan McFarlin, F",OKST,30,29.6,46,96,1.53,2.07,0.48,78,2004
78,"Devonne Giles, F",TTU,32,22.0,49,89,1.53,2.78,0.55,79,2004
79,"David Padgett, C",KU,27,19.7,41,88,1.52,3.09,0.47,80,2004
80,"Nathaniel Parker, F",UNO,29,17.4,44,96,1.52,3.48,0.46,81,2004
81,"Luke Schenscher, C",GT,32,26.3,48,97,1.50,2.28,0.49,82,2004
82,"Michael Bauer, F",MINN,30,24.5,45,79,1.50,2.45,0.57,83,2004
83,"Joakim Kjellbom, C",NAU,28,12.0,42,45,1.50,4.99,0.93,84,2004
84,"Gaston Moliva, F",RICH,33,18.9,49,86,1.48,3.14,0.57,85,2004
85,"Johnnie Gilbert, F",OKLA,29,22.2,43,76,1.48,2.67,0.57,86,2004
86,"Jeremy McNeil, C",SYR,27,12.8,39,63,1.44,4.51,0.62,87,2004
87,"Marijan Pojatina, C",FUR,28,13.5,40,74,1.43,4.22,0.54,88,2004
88,"Wilder Auguste, F",SHSU,28,23.8,40,83,1.43,2.40,0.48,89,2004
89,"Kelly Ross, C",JKST,29,24.4,41,84,1.41,2.31,0.49,90,2004
90,"Jason Benton, F-C",MAN,29,20.0,41,76,1.41,2.82,0.54,91,2004
91,"Mark Bortz, F",BUFF,29,23.3,41,81,1.41,2.43,0.51,92,2004
92,"Danny Granger, F",UNM,22,32.0,31,69,1.41,1.76,0.45,93,2004
93,"Demetrius Williams, F-C",L-IL,27,29.4,38,64,1.41,1.91,0.59,94,2004
94,"Chuck Hayes, F",UK,30,30.8,42,77,1.40,1.82,0.55,95,2004
95,"Gordon Klaiber, F",FDU,28,34.3,39,90,1.39,1.63,0.43,96,2004
96,"Branden Vincent, F",MSST,28,30.3,39,81,1.39,1.84,0.48,97,2004
97,"Jesse Smith, F-C",IDST,31,23.3,43,96,1.39,2.38,0.45,98,2004
98,"Nick Fazekas, F",NEV,31,26.7,43,60,1.39,2.08,0.72,99,2004
99,"Andrew Bogut, C",UTAH,32,30.2,44,78,1.38,1.82,0.56,100,2004
100,"Francisco Garcia, F",LOU,27,30.2,37,72,1.37,1.82,0.51,101,2004
101,"Sean May, F-C",UNC,27,29.1,37,71,1.37,1.88,0.52,102,2004
102,"Wesley Duke, F",MER,30,29.2,41,84,1.37,1.87,0.49,103,2004
103,"Adam Parada, C",UCI,28,27.5,38,85,1.36,1.98,0.45,104,2004
104,"Louis Smith, G",L-IL,29,28.9,39,90,1.34,1.86,0.43,105,2004
105,"Mustafa Al-Sayyad, C",FRES,29,28.6,39,70,1.34,1.88,0.56,106,2004
106,"Josh Bodden, C",UCF,30,29.0,40,71,1.33,1.84,0.56,107,2004
107,"Herbert Jones, F",APP,30,14.0,40,58,1.33,3.80,0.69,108,2004
108,"Charles Gaines, F",USM,28,31.4,37,74,1.32,1.69,0.50,109,2004
109,"Brandon Crump, F",TENN,28,31.3,37,71,1.32,1.69,0.52,110,2004
110,"John Turek, F",NEB,28,22.8,37,91,1.32,2.32,0.41,111,2004
111,"Brandon Bowman, F",GTWN,28,34.7,37,74,1.32,1.52,0.50,112,2004
112,"Renaldo Balkman, F",SC,32,18.2,42,70,1.31,2.89,0.60,113,2004
113,"Anthony Fuqua, C",UTSA,32,22.9,42,116,1.31,2.29,0.36,114,2004
114,"Arnaud Dahi, F",ODU,29,20.8,38,77,1.31,2.52,0.49,115,2004
115,"James Reaves, F",NIAG,30,32.9,39,103,1.30,1.58,0.38,116,2004
116,"James Augustine, F-C",ILL,30,27.5,39,74,1.30,1.89,0.53,117,2004
117,"Ryvon Covile, C",DET,30,22.9,39,98,1.30,2.27,0.40,118,2004
118,"Ekene Ibekwe, F",MD,30,13.3,39,65,1.30,3.92,0.60,119,2004
119,"Jason Fraser, F",NOVA,24,25.5,31,68,1.29,2.03,0.46,120,2004
0,"Deng Gai, F",FAIR,30,36.0,165,84,5.50,6.11,1.96,1,2005
1,"Shawn James, F-C",NE,24,24.5,129,70,5.38,8.76,1.84,2,2005
2,"Shelden Williams, F",DUKE,30,33.7,113,84,3.77,4.47,1.35,3,2005
3,"Kyle Hines, F",UNCG,30,33.3,106,90,3.53,4.24,1.18,4,2005
4,"Yemi Nicholson, C",DEN,30,30.1,91,69,3.03,4.04,1.32,5,2005
5,"Chaz Crawford, F",DREX,28,23.9,84,88,3.00,5.01,0.95,6,2005
6,"Josh Boone, F-C",CONN,29,29.4,86,61,2.97,4.03,1.41,7,2005
7,"Anthony King, C",MIA,28,28.9,83,56,2.96,4.11,1.48,8,2005
8,"Ronald Alexander, C",MVSU,28,28.1,82,63,2.93,4.17,1.30,9,2005
9,"Justin Williams, F-C",WYO,28,23.5,81,91,2.89,4.92,0.89,10,2005
10,"Elgrace Wilborn, F-C",WKU,27,27.4,78,70,2.89,4.21,1.11,11,2005
11,"Dwayne Jones, C",JOES,30,34.6,86,69,2.87,3.32,1.25,12,2005
12,"Sylvester Morgan, F-C",GAST,29,22.1,81,78,2.79,5.05,1.04,13,2005
13,"Moussa Badiane, C",ECU,27,29.7,75,92,2.78,3.74,0.82,14,2005
14,"Patrick O'Bryant, C",BRAD,27,23.1,75,89,2.78,4.82,0.84,15,2005
15,"Rans Brempong, F-C",WCU,30,23.7,83,95,2.77,4.66,0.87,16,2005
16,"Erek Hansen, C",IOWA,31,20.0,83,103,2.68,5.36,0.81,17,2005
17,"Jason Maxiell, F",CIN,31,31.2,82,76,2.65,3.39,1.08,18,2005
18,"C.J. Walker, C",UNCA,26,15.0,68,54,2.62,6.96,1.26,19,2005
19,"Stephane Lasme, F",UMASS,28,23.2,72,92,2.57,4.44,0.78,20,2005
20,"Jeff Hagen, C",MINN,31,26.8,79,67,2.55,3.81,1.18,21,2005
21,"Jason Fraser, F",NOVA,25,20.9,63,68,2.52,4.82,0.93,22,2005
22,"Deji Akindele, C",CHS,28,28.8,70,102,2.50,3.47,0.69,23,2005
23,"Bryant Dunston, F",FOR,40,33.2,98,120,2.45,2.96,0.82,24,2005
24,"Haminn Quaintance, F",JAC,27,31.9,66,67,2.44,3.07,0.99,25,2005
25,"William Byrd, F",ARPB,28,29.0,68,62,2.43,3.35,1.10,26,2005
26,"Sean Williams, C",BC,25,16.8,60,48,2.40,5.73,1.25,27,2005
27,"Grant Stout, F",UNI,31,31.5,74,77,2.39,3.03,0.96,28,2005
28,"Mustafa Al-Sayyad, C",FRES,30,27.4,70,60,2.33,3.41,1.17,29,2005
29,"Ike Diogu, F-C",ASU,31,36.5,72,86,2.32,2.55,0.84,30,2005
30,"Eric Hicks, F",CIN,30,31.3,69,73,2.30,2.94,0.95,31,2005
31,"Eddy Fobbs, F-C",SHSU,30,22.0,68,98,2.27,4.13,0.69,32,2005
32,"Devon Neckles, F",SFNY,19,23.5,43,62,2.26,3.85,0.69,33,2005
33,"Alioune Beye, C",MTST,19,23.4,43,57,2.26,3.87,0.75,34,2005
34,"D.J. White, F",IND,28,28.1,62,74,2.21,3.15,0.84,35,2005
35,"Reggie Golson, F",SEMO,29,32.9,64,101,2.21,2.68,0.63,36,2005
36,"Greg Jenkins, F-C",IONA,30,29.7,66,89,2.20,2.96,0.74,37,2005
37,"Sharrod Ford, F",CLEM,31,29.1,68,88,2.19,3.02,0.77,38,2005
38,"Solomon Jones, F-C",USF,30,26.1,64,101,2.13,3.27,0.63,39,2005
39,"Juan Mendez, F",NIAG,29,34.3,61,92,2.10,2.45,0.66,40,2005
40,"Adrian Uter, F-C",HOF,29,19.6,60,91,2.07,4.23,0.66,41,2005
41,"Randall Hanke, F-C",PROV,30,14.6,62,69,2.07,5.68,0.90,42,2005
42,"Channing Frye, C",ARIZ,33,30.4,68,83,2.06,2.71,0.82,43,2005
43,"Danny Granger, F",UNM,29,29.7,59,68,2.03,2.74,0.87,44,2005
44,"D'or Fischer, C",WVU,30,19.7,60,70,2.00,4.06,0.86,45,2005
45,"Jamaal Wise, F",URI,1,34.0,2,3,2.00,2.35,0.67,46,2005
46,"Brian Cusworth, C",HARV,23,29.8,45,74,1.96,2.62,0.61,47,2005
47,"Chuck Davis, F",ALA,31,32.8,60,82,1.94,2.36,0.73,48,2005
48,"Rudy Gay, F",CONN,29,28.7,56,66,1.93,2.69,0.85,49,2005
49,"Nick Dewitz, F",ORST,26,26.2,50,68,1.92,2.94,0.74,50,2005
50,"David Simon, C",IPFW,25,32.1,48,86,1.92,2.39,0.56,51,2005
51,"Taj Gray, F",OKLA,31,27.7,59,88,1.90,2.74,0.67,52,2005
52,"Andrew Preston, C",BEL,30,17.6,57,93,1.90,4.33,0.61,53,2005
53,"Jared Homan, C",ISU,29,36.2,55,80,1.90,2.10,0.69,54,2005
54,"Aliou Keita, C",DRKE,29,23.3,55,69,1.90,3.25,0.80,55,2005
55,"Paul Millsap, F",LT,29,36.6,55,89,1.90,2.07,0.62,56,2005
56,"James Hughes, C",NIU,28,20.5,53,52,1.89,3.69,1.02,57,2005
57,"Mike Bell, F",FAU,27,35.1,51,54,1.89,2.15,0.94,58,2005
58,"Anthony Fuqua, C",UTSA,27,20.4,51,89,1.89,3.70,0.57,59,2005
59,"Luke Schenscher, C",GT,30,26.2,56,70,1.87,2.85,0.80,60,2005
60,"Ronny Turiaf, F",GONZ,29,30.8,54,78,1.86,2.42,0.69,61,2005
61,"Charlie Villanueva, F",CONN,29,25.4,54,64,1.86,2.93,0.84,62,2005
62,"Andrew Bogut, C",UTAH,32,34.5,59,70,1.84,2.14,0.84,63,2005
63,"Mario Brown, F",JAC,29,18.7,53,87,1.83,3.90,0.61,64,2005
64,"Jeffrey Simpson, C",UNT,28,17.6,51,58,1.82,4.15,0.88,65,2005
65,"Nate Lufkin, C",HC,27,25.9,49,67,1.81,2.80,0.73,66,2005
66,"Devonne Giles, F",TTU,30,26.0,54,97,1.80,2.77,0.56,67,2005
67,"Steven Hill, F-C",ARK,30,15.7,54,58,1.80,4.59,0.93,68,2005
68,"Ben Devoe, C",UVU,28,24.9,50,72,1.79,2.87,0.69,69,2005
69,"Rashad Bell, F",BU,28,32.0,49,48,1.75,2.19,1.02,70,2005
70,"Dorien Brown, F",JVST,18,22.8,31,39,1.72,3.02,0.79,71,2005
71,"Thomas Bailey, F",AMCC,28,26.9,48,33,1.71,2.55,1.45,72,2005
72,"Martin Iti, C",CHAR,28,18.5,48,68,1.71,3.71,0.71,73,2005
73,"Chris Taft, F",PITT,28,26.5,48,45,1.71,2.58,1.07,74,2005
74,"Cavell Johnson, F",JMU,28,30.1,48,76,1.71,2.28,0.63,75,2005
75,"Warren McLendon, F",CIT,27,25.3,46,97,1.70,2.70,0.47,76,2005
76,"Arturo Dubois, F",MAN,29,22.7,49,113,1.69,2.98,0.43,77,2005
77,"Courtney Sims, C",MICH,31,23.2,52,66,1.68,2.89,0.79,78,2005
78,"Tyrelle Blair, C",L-IL,30,22.0,50,107,1.67,3.03,0.47,79,2005
79,"Guilherme Teichmann, F",TLSA,29,22.2,48,88,1.66,2.98,0.55,80,2005
80,"Rigoberto Sargeant, C",CAN,29,19.2,48,76,1.66,3.45,0.63,81,2005
81,"Ekene Ibekwe, F",MD,26,21.3,43,87,1.65,3.10,0.49,82,2005
82,"Al Horford, F-C",FLA,30,22.7,49,72,1.63,2.87,0.68,83,2005
83,"Billy Houston, C",WIN,32,16.9,52,87,1.63,3.84,0.60,84,2005
84,"Andrea Crosariol, C",FDU,32,22.0,52,93,1.63,2.95,0.56,85,2005
85,"Brent Petway, F",MICH,29,21.4,47,74,1.62,3.03,0.64,86,2005
86,"Shavlik Randolph, F",DUKE,26,18.8,42,78,1.62,3.44,0.54,87,2005
87,"Ramon Dyer, F",HOU,31,27.9,50,93,1.61,2.31,0.54,88,2005
88,"Louis Graham, F",GASO,31,17.1,50,76,1.61,3.77,0.66,89,2005
89,"Jordan Cornette, F",ND,28,26.3,45,72,1.61,2.44,0.63,90,2005
90,"Brad Buckman, F",TEX,30,25.4,48,83,1.60,2.52,0.58,91,2005
91,"Chris Collins, C",AAMU,30,21.1,48,70,1.60,3.03,0.69,92,2005
92,"Nick Fazekas, F",NEV,30,31.3,48,51,1.60,2.04,0.94,93,2005
93,"Darian Townes, F-C",ARK,30,23.8,48,72,1.60,2.69,0.67,94,2005
94,"Nate Lofton, C",SELA,32,29.1,51,101,1.59,2.19,0.50,95,2005
95,"Anthony Williams, F",UCF,32,24.9,51,117,1.59,2.56,0.44,96,2005
96,"Vernell Davis, F",TLSA,17,14.9,27,35,1.59,4.27,0.77,97,2005
97,"Pops Mensah-Bonsu, F",GW,29,24.4,46,80,1.59,2.60,0.58,98,2005
98,"Brandon Bass, F",LSU,29,33.5,46,69,1.59,1.89,0.67,99,2005
99,"Joel Anthony, C",UNLV,29,13.6,46,51,1.59,4.67,0.90,100,2005
100,"Brandon Wallace, F",SC,28,22.8,44,62,1.57,2.76,0.71,101,2005
101,"Alonzo Hird, F",EKY,30,25.3,47,97,1.57,2.48,0.48,102,2005
102,"Lamont Hamilton, F",SJU,27,32.9,42,93,1.56,1.89,0.45,103,2005
103,"Romeo Travis, F",AKR,29,28.4,45,72,1.55,2.18,0.63,104,2005
104,"Jeff Green, F",GTWN,29,34.6,45,83,1.55,1.79,0.54,105,2005
105,"Russell Hicks, C",PEPP,31,14.1,48,79,1.55,4.39,0.61,106,2005
106,"Chad Kosmo, C",LONG,31,20.1,48,71,1.55,3.08,0.68,107,2005
107,"Jeffrey Day, C",CREI,33,18.3,51,72,1.55,3.37,0.71,108,2005
108,"Shagari Alleyne, C",UK,26,9.3,40,16,1.54,6.58,2.50,109,2005
109,"Almaad Jackson, F",ALCN,26,23.6,40,60,1.54,2.61,0.67,110,2005
110,"Kieron Achara, F-C",DUQ,30,29.2,46,81,1.53,2.10,0.57,111,2005
111,"Karandick Ogunride, C",NORF,27,33.1,41,77,1.52,1.83,0.53,112,2005
112,"Herbert Hill, F-C",PROV,30,14.7,45,66,1.50,4.07,0.68,113,2005
113,"George Tandy, F",EIU,28,21.0,42,69,1.50,2.85,0.61,114,2005
114,"Julius Ashby, F-C",COLO,22,25.2,33,64,1.50,2.38,0.52,115,2005
115,"LaMarcus Aldridge, F",TEX,16,22.2,24,49,1.50,2.70,0.49,116,2005
116,"Arnaud Dahi, F",ODU,33,21.2,49,80,1.48,2.80,0.61,117,2005
117,"Jermareo Davidson, F",ALA,31,25.7,46,76,1.48,2.31,0.61,118,2005
118,"Darnell Wilson, F",CAN,29,29.4,43,105,1.48,2.02,0.41,119,2005
119,"Darryl Watkins, C",SYR,25,14.4,37,54,1.48,4.11,0.69,120,2005
0,"Shawn James, F-C",NE,30,27.7,196,88,6.53,9.42,2.23,1,2006
1,"Justin Williams, F-C",WYO,30,30.0,163,93,5.43,7.24,1.75,2,2006
2,"Stephane Lasme, F",UMASS,28,29.1,108,96,3.86,5.29,1.13,3,2006
3,"Shelden Williams, F",DUKE,33,32.9,122,105,3.70,4.49,1.16,4,2006
4,"Antoine 'Slim' Millien, F-C",IDST,27,27.7,93,62,3.44,4.98,1.50,5,2006
5,"Hilton Armstrong, F-C",CONN,30,27.3,100,81,3.33,4.89,1.23,6,2006
6,"Michael Southall, C",ULL,28,30.1,93,95,3.32,4.41,0.98,7,2006
7,"Eric Hicks, F",CIN,31,34.0,102,72,3.29,3.87,1.42,8,2006
8,"Patrick O'Bryant, C",BRAD,22,25.1,69,67,3.14,4.99,1.03,9,2006
9,"Tyrus Thomas, F",LSU,27,26.2,82,67,3.04,4.63,1.22,10,2006
10,"Solomon Jones, F-C",USF,29,36.4,88,99,3.03,3.33,0.89,11,2006
11,"Andrea Crosariol, C",FDU,31,26.5,93,105,3.00,4.53,0.89,12,2006
12,"Mickell Gladness, F-C",AAMU,26,19.8,77,68,2.96,5.99,1.13,13,2006
13,"John Bunch, C",MONM,23,20.7,68,46,2.96,5.70,1.48,14,2006
14,"Bamba Fall, C",SMU,18,24.1,53,52,2.94,4.88,1.02,15,2006
15,"Darryl Watkins, C",SYR,34,29.5,99,108,2.91,3.95,0.92,16,2006
16,"Yemi Nicholson, C",DEN,31,33.5,88,77,2.84,3.39,1.14,17,2006
17,"Steven Hill, F-C",ARK,31,22.3,87,82,2.81,5.03,1.06,18,2006
18,"Kyle Hines, F",UNCG,30,34.0,84,72,2.80,3.30,1.17,19,2006
19,"Chaz Crawford, F",DREX,31,26.5,86,104,2.77,4.19,0.83,20,2006
20,"Erek Hansen, C",IOWA,33,19.5,87,95,2.64,5.41,0.92,21,2006
21,"Elgrace Wilborn, F-C",WKU,29,27.3,76,53,2.62,3.83,1.43,22,2006
22,"Pearson Griffith, C",MURR,30,23.4,78,86,2.60,4.45,0.91,23,2006
23,"Olli Ahvenniemi, F-C",MAINE,28,25.4,72,85,2.57,4.06,0.85,24,2006
24,"Cedric Simmons, C",NCST,30,27.2,77,93,2.57,3.77,0.83,25,2006
25,"Thomas Fairley, F",LAM,28,27.4,70,90,2.50,3.65,0.78,26,2006
26,"Arturo Dubois, F",MAN,28,32.4,70,105,2.50,3.09,0.67,27,2006
27,"Jeffrey Simpson, C",UNT,28,22.9,68,78,2.43,4.25,0.87,28,2006
28,"Simon Conn, C",WEBB,29,32.6,70,77,2.41,2.96,0.91,29,2006
29,"Grant Stout, F",UNI,32,32.4,77,72,2.41,2.97,1.07,30,2006
30,"Bryant Dunston, F",FOR,32,31.3,77,103,2.41,3.07,0.75,31,2006
31,"Ahmet Gueye, F",HAW,25,31.5,60,84,2.40,3.05,0.71,32,2006
32,"Issa Konare, F",HP,29,23.1,69,87,2.38,4.12,0.79,33,2006
33,"Kevin Steenberge, C",RICH,30,24.9,71,81,2.37,3.80,0.88,34,2006
34,"Paul Millsap, F",LT,32,34.2,75,97,2.34,2.74,0.77,35,2006
35,"Mamadou Diene, C",BAY,17,23.2,38,64,2.24,3.85,0.59,36,2006
36,"Greg Dilligard, F",ILST,28,30.1,62,78,2.21,2.94,0.79,37,2006
37,"Josh Boone, F-C",CONN,30,26.9,66,61,2.20,3.27,1.08,38,2006
38,"McHugh Mattis, F",USF,29,32.6,62,96,2.14,2.62,0.65,39,2006
39,"Jason Smith, F",CSU,31,28.7,66,102,2.13,2.97,0.65,40,2006
40,"Michael Harrison, F",CSU,31,28.7,66,77,2.13,2.96,0.86,41,2006
