,PLAYER,TEAM,GP,MPG,STL,STPG,STP40M,TO,TOPG,PF,ST/TO,ST/PF,RK,Year
33,"Danny Gathings, F",HP,24,32.8,53,2.21,2.70,73,3.04,85,0.73,0.62,34,2003
34,"Marlon Williamson, G",YSU,29,28.5,64,2.21,3.10,101,3.48,81,0.63,0.79,35,2003
35,"Omar Wellington, G",SHU,29,34.5,64,2.21,2.56,79,2.72,55,0.81,1.16,36,2003
36,"Andre Smith, G",UNCA,30,31.9,66,2.20,2.76,81,2.70,83,0.81,0.80,37,2003
37,"Brett Blizzard, G",UNCW,30,35.2,66,2.20,2.50,67,2.23,41,0.99,1.61,38,2003
38,"Marius Boyd, G",UCF,31,31.1,68,2.19,2.82,70,2.26,93,0.97,0.73,39,2003
39,"Patrick Sparks, G",WKU,32,32.9,70,2.19,2.66,94,2.94,63,0.74,1.11,40,2003
40,"Adam Mark, F",BEL,28,29.2,61,2.18,2.98,59,2.11,73,1.03,0.84,41,2003
41,"Johnny Hollingsworth, G",AKR,28,35.7,61,2.18,2.44,68,2.43,67,0.90,0.91,42,2003
42,"Ricky Minard, G-F",MORE,29,31.3,63,2.17,2.77,89,3.07,77,0.71,0.82,43,2003
43,"Joseph Frazier, G-F",CSN,29,24.2,63,2.17,3.59,66,2.28,89,0.95,0.71,44,2003
44,"Clifford Crawford, G",NCST,30,32.7,65,2.17,2.65,83,2.77,84,0.78,0.77,45,2003
45,"Alvin Snow, G-F",EWU,30,31.1,65,2.17,2.78,97,3.23,84,0.67,0.77,46,2003
46,"Chuck Eidson, G",SC,28,34.9,60,2.14,2.45,76,2.71,70,0.79,0.86,47,2003
47,"Brian Werner, F",BUCK,7,27.9,15,2.14,3.08,20,2.86,22,0.75,0.68,48,2003
48,"Gerry McNamara, G",SYR,29,35.4,62,2.14,2.42,71,2.45,57,0.87,1.09,49,2003
49,"E.J. Gordon, G-F",STET,26,27.2,55,2.12,3.11,69,2.65,73,0.80,0.75,50,2003
50,"Chris Sumner, G",MSM,27,34.9,57,2.11,2.42,70,2.59,56,0.81,1.02,51,2003
51,"Eddie Basden, F",CHAR,29,25.6,61,2.10,3.29,55,1.90,69,1.11,0.88,52,2003
52,"Ian Boylan, G-F",CSN,29,32.9,61,2.10,2.56,69,2.38,84,0.88,0.73,53,2003
53,"Carlos Morban, G",FIU,29,30.8,61,2.10,2.74,98,3.38,85,0.62,0.72,54,2003
54,"B.J. Banks, G",SFA,29,26.5,61,2.10,3.17,32,1.10,46,1.91,1.33,55,2003
55,"Bryan Hopkins, G",SMU,29,31.2,61,2.10,2.70,121,4.17,80,0.50,0.76,56,2003
56,"Brandin Knight, G",PITT,30,33.2,63,2.10,2.53,97,3.23,66,0.65,0.95,57,2003
57,"Malcolm Campbell, G",ALST,28,30.1,58,2.07,2.75,101,3.61,55,0.57,1.05,58,2003
58,"J.C. Howe, F-C",UTM,28,29.3,58,2.07,2.83,70,2.50,102,0.83,0.57,59,2003
59,"Reggie Kohn, G",USF,29,33.6,60,2.07,2.46,66,2.28,46,0.91,1.30,60,2003
60,"Matt Jones, G",APP,29,22.3,60,2.07,3.72,31,1.07,70,1.94,0.86,61,2003
61,"Darren Brooks, G",SIU,30,33.4,62,2.07,2.47,52,1.73,72,1.19,0.86,62,2003
62,"Jave Meade, G",HC,30,34.5,62,2.07,2.40,69,2.30,64,0.90,0.97,63,2003
63,"Scottie Rice, G",ELON,27,31.1,55,2.04,2.62,72,2.67,69,0.76,0.80,64,2003
64,"Kirby Lemons, F",ULM,28,33.0,57,2.04,2.47,60,2.14,93,0.95,0.61,65,2003
65,"Ryan Mantlo, G",LIB,28,36.6,57,2.04,2.23,69,2.46,80,0.83,0.71,66,2003
66,"Josh Howard, F",WAKE,29,32.3,59,2.03,2.52,73,2.52,83,0.81,0.71,67,2003
67,"James Gillingham, G",BRAD,30,32.7,61,2.03,2.49,66,2.20,102,0.92,0.60,68,2003
68,"Morris Finley, G",UAB,31,31.1,63,2.03,2.61,58,1.87,61,1.09,1.03,69,2003
69,"Courtney Pritchard, G",WAG,31,31.9,63,2.03,2.55,95,3.06,71,0.66,0.89,70,2003
70,"Eugene (Jay) Bates, G",NIU,31,26.0,62,2.00,3.08,91,2.94,88,0.68,0.70,71,2003
71,"Tory Cavalieri, G",SFNY,30,35.0,60,2.00,2.29,96,3.20,58,0.63,1.03,72,2003
72,"Victor Williams, G",OKST,30,31.1,60,2.00,2.57,79,2.63,75,0.76,0.80,73,2003
73,"Richard Little, G",VMI,30,32.9,60,2.00,2.43,137,4.57,73,0.44,0.82,74,2003
74,"Jimmy Baxter, G-F",USF,29,34.9,58,2.00,2.29,53,1.83,59,1.09,0.98,75,2003
75,"Jason Forte, G",BRWN,28,34.1,56,2.00,2.35,97,3.46,63,0.58,0.89,76,2003
76,"T.J. Ford, G",TEX,28,33.4,56,2.00,2.40,91,3.25,67,0.62,0.84,77,2003
77,"Todor Pandov, F",WKU,1,23.0,2,2.00,3.48,3,3.00,0,0.67,0.00,78,2003
78,"Kendrick Fink, NA",COOK,1,25.0,2,2.00,3.20,2,2.00,3,1.00,0.67,79,2003
79,"Kirk Hinrich, G",KU,31,33.5,61,1.97,2.35,66,2.13,65,0.92,0.94,80,2003
80,"Charles Brown, G",LMU,31,29.4,61,1.97,2.68,117,3.77,76,0.52,0.80,81,2003
81,"Deangelo Woodall, G",IPFW,30,27.6,59,1.97,2.85,76,2.53,62,0.78,0.95,82,2003
82,"Graham Bunn, G",APP,29,31.9,57,1.97,2.46,80,2.76,48,0.71,1.19,83,2003
83,"Earnest Crumbley, G",FAU,28,36.1,55,1.96,2.18,103,3.68,72,0.53,0.76,84,2003
84,"Antonio Lawrence, F",SJSU,23,24.6,45,1.96,3.18,51,2.22,80,0.88,0.56,85,2003
85,"Johnell Smith, G",UNO,30,27.2,58,1.93,2.85,91,3.03,38,0.64,1.53,86,2003
86,"Clay Tucker, F",MILW,29,32.9,56,1.93,2.35,64,2.21,52,0.88,1.08,87,2003
87,"Luis Flores, G",MAN,29,38.8,56,1.93,1.99,96,3.31,68,0.58,0.82,88,2003
88,"Bronski Dockery, G",SFNY,29,30.0,56,1.93,2.57,97,3.34,99,0.58,0.57,89,2003
89,"Anthony Kann, F-C",WMU,28,31.0,54,1.93,2.49,62,2.21,91,0.87,0.59,90,2003
90,"Mark Davis, G-F",GMU,28,32.1,54,1.93,2.40,93,3.32,75,0.58,0.72,91,2003
91,"Kyle Wente, G",PRIN,27,34.8,52,1.93,2.21,40,1.48,59,1.30,0.88,92,2003
92,"Luke Ridnour, G",ORE,32,35.3,61,1.91,2.16,124,3.88,74,0.49,0.82,93,2003
93,"Torris Bright, G",LSU,31,31.6,59,1.90,2.41,72,2.32,55,0.82,1.07,94,2003
94,"Jason Parker, G",TLSA,31,33.5,59,1.90,2.27,73,2.35,58,0.81,1.02,95,2003
95,"Barry Hairston, G",HAMP,30,26.5,57,1.90,2.86,72,2.40,85,0.79,0.67,96,2003
96,"Turner Battle, G",BUFF,20,35.4,38,1.90,2.15,48,2.40,47,0.79,0.81,97,2003
97,"Andre Emmett, G",TTU,29,36.6,55,1.90,2.08,56,1.93,44,0.98,1.25,98,2003
98,"Devin Harris, G",WIS,29,34.0,55,1.90,2.23,46,1.59,62,1.20,0.89,99,2003
99,"Kenneth Lawrence, G",ULL,28,27.4,53,1.89,2.76,71,2.54,59,0.75,0.90,100,2003
100,"Jamal Daniels, G",SAV,27,30.1,51,1.89,2.51,74,2.74,90,0.69,0.57,101,2003
101,"Patrick Harvey, G",HARV,18,35.0,34,1.89,2.16,60,3.33,33,0.57,1.03,102,2003
102,"Eric Schmieder, G",DREX,30,35.7,56,1.87,2.09,82,2.73,76,0.68,0.74,103,2003
103,"Tony Allen, G",OKST,30,31.0,56,1.87,2.41,83,2.77,86,0.67,0.65,104,2003
104,"Mardy Collins, G",TEM,30,35.0,56,1.87,2.14,62,2.07,78,0.90,0.72,105,2003
105,"Ryan Iversen, G",DEL,28,26.6,52,1.86,2.79,55,1.96,49,0.95,1.06,106,2003
106,"Jason Gardner, G",ARIZ,28,34.6,52,1.86,2.15,78,2.79,44,0.67,1.18,107,2003
107,"Guilherme Da Luz, G",FUR,28,36.1,52,1.86,2.06,95,3.39,53,0.55,0.98,108,2003
108,"Jerome Coleman, G",RUTG,28,30.5,52,1.86,2.44,59,2.11,77,0.88,0.68,109,2003
109,"Robert Taylor, G",RID,28,34.2,52,1.86,2.17,46,1.64,70,1.13,0.74,110,2003
110,"Eric Ferguson, G",ARK,28,33.3,52,1.86,2.23,109,3.89,70,0.48,0.74,111,2003
111,"Rasheed Wright, F",ODU,27,31.6,50,1.85,2.34,38,1.41,69,1.32,0.72,112,2003
112,"Anthony Green, G",BING,27,34.9,50,1.85,2.12,100,3.70,43,0.50,1.16,113,2003
113,"Hodari Mallory, F",CAN,26,30.8,48,1.85,2.39,58,2.23,85,0.83,0.56,114,2003
114,"Chris Thomas, G",ND,31,36.3,57,1.84,2.02,125,4.03,75,0.46,0.76,115,2003
115,"Timmy Bowers, G",MSST,30,34.0,55,1.83,2.16,78,2.60,46,0.71,1.20,116,2003
116,"Derrick Zimmerman, G",MSST,30,33.2,55,1.83,2.21,103,3.43,60,0.53,0.92,117,2003
117,"Ali Berdiel, G",VALP,30,28.9,55,1.83,2.54,95,3.17,83,0.58,0.66,118,2003
118,"Dee Brown, G",ILL,30,33.8,55,1.83,2.17,59,1.97,54,0.93,1.02,119,2003
119,"Kason Mims, G",QUIN,29,34.6,53,1.83,2.11,83,2.86,85,0.64,0.62,120,2003
0,"Marques Green, G",SBON,27,39.4,107,3.96,4.03,106,3.93,70,1.01,1.53,1,2004
1,"Obie Trotter, G",AAMU,29,32.8,88,3.03,3.70,96,3.31,78,0.92,1.13,2,2004
2,"Jameer Nelson, G",JOES,28,33.4,84,3.00,3.59,84,3.00,51,1.00,1.65,3,2004
3,"Chakowby Hicks, G",NORF,29,34.9,86,2.97,3.40,114,3.93,90,0.75,0.96,4,2004
4,"Zakee Wadood, F",ETSU,32,30.8,91,2.84,3.70,87,2.72,108,1.05,0.84,5,2004
5,"Chris Paul, G",WAKE,28,33.3,78,2.79,3.34,76,2.71,76,1.03,1.03,6,2004
6,"Louis Ford, G",HOW,28,32.5,77,2.75,3.39,100,3.57,83,0.77,0.93,7,2004
7,"Jamon Gordon, G",VT,24,33.3,66,2.75,3.31,54,2.25,83,1.22,0.80,8,2004
8,"Tory Cavalieri, G",SFNY,28,34.5,75,2.68,3.10,92,3.29,48,0.82,1.56,9,2004
9,"Andres Rodriguez, G",AMER,31,37.3,82,2.65,2.83,100,3.23,55,0.82,1.49,10,2004
10,"David Hawkins, G",TEM,28,38.8,74,2.64,2.72,70,2.50,61,1.06,1.21,11,2004
11,"Tony Dobbins, G",RICH,33,33.5,86,2.61,3.11,46,1.39,74,1.87,1.16,12,2004
12,"Ian Boylan, G-F",CSN,30,35.8,78,2.60,2.90,74,2.47,90,1.05,0.87,13,2004
13,"Kevin Hamilton, G",HC,28,29.1,72,2.57,3.53,61,2.18,75,1.18,0.96,14,2004
14,"Keith Triplett, G",TOL,30,33.3,77,2.57,3.09,76,2.53,48,1.01,1.60,15,2004
15,"Tim Smith, G",ETSU,31,35.5,78,2.52,2.83,125,4.03,50,0.62,1.56,16,2004
16,"Lonnie Randolph, G",DRKE,28,29.8,70,2.50,3.36,103,3.68,54,0.68,1.30,17,2004
17,"Tim Pickett, G",FSU,31,29.4,77,2.48,3.38,72,2.32,78,1.07,0.99,18,2004
18,"Bryant Matthews, G-F",VT,29,35.4,72,2.48,2.80,87,3.00,106,0.83,0.68,19,2004
19,"E.J. Gordon, G-F",STET,27,34.3,66,2.44,2.85,97,3.59,76,0.68,0.87,20,2004
20,"Greg Davis, G",TROY,30,33.9,73,2.43,2.87,86,2.87,35,0.85,2.09,21,2004
21,"Hosea Butler, G",MVSU,28,32.1,68,2.43,3.02,70,2.50,57,0.97,1.19,22,2004
22,"Carlos Morban, G",FIU,22,31.7,53,2.41,3.04,80,3.64,52,0.66,1.02,23,2004
23,"Willie Depron, G",NICH,27,37.5,65,2.41,2.57,87,3.22,57,0.75,1.14,24,2004
24,"Brody Boyd, G",IOWA,28,33.4,67,2.39,2.87,34,1.21,52,1.97,1.29,25,2004
25,"Antonio Burks, G",MEM,28,34.1,67,2.39,2.81,67,2.39,66,1.00,1.02,26,2004
26,"Jason Erickson, G",MTST,27,37.9,64,2.37,2.50,54,2.00,59,1.19,1.08,27,2004
27,"DeAngelo Newsom, F",SUU,28,31.8,66,2.36,2.96,64,2.29,72,1.03,0.92,28,2004
28,"Edward Mack, G",MVSU,29,33.0,68,2.34,2.84,51,1.76,64,1.33,1.06,29,2004
29,"Chris Duhon, G",DUKE,32,35.8,75,2.34,2.62,93,2.91,70,0.81,1.07,30,2004
30,"Cliff Hawkins, G",UK,30,30.9,70,2.33,3.02,86,2.87,71,0.81,0.99,31,2004
31,"DeAndre Haynes, G",KENT,30,34.5,70,2.33,2.70,94,3.13,80,0.74,0.88,32,2004
32,"Kevin Reed, G",MAINE,30,34.2,70,2.33,2.73,70,2.33,59,1.00,1.19,33,2004
33,"Maurice Bailey, G",SHU,27,33.0,63,2.33,2.83,92,3.41,67,0.68,0.94,34,2004
34,"Winsome Frazier, G-F",MSST,28,32.2,65,2.32,2.88,51,1.82,66,1.27,0.98,35,2004
35,"Errick Craven, G",USC,27,28.1,62,2.30,3.27,79,2.93,91,0.78,0.68,36,2004
36,"Bashir Mason, G",DREX,28,30.0,64,2.29,3.05,66,2.36,70,0.97,0.91,37,2004
37,"Jitim Young, G",NW,29,38.2,66,2.28,2.38,69,2.38,65,0.96,1.02,38,2004
38,"Gil Goodrich, G",LAM,29,31.3,66,2.28,2.91,93,3.21,41,0.71,1.61,39,2004
39,"Elton Nesbitt, G",GASO,29,28.9,66,2.28,3.15,75,2.59,67,0.88,0.99,40,2004
40,"Ed O'Neil, G",CHSO,28,34.0,63,2.25,2.64,91,3.25,69,0.69,0.91,41,2004
41,"Garrett Richardson, G",TNST,28,33.9,63,2.25,2.66,54,1.93,71,1.17,0.89,42,2004
42,"K.C. Cavette, G",JKST,29,30.0,65,2.24,2.99,78,2.69,87,0.83,0.75,43,2004
43,"Eddie Basden, F",CHAR,29,28.4,65,2.24,3.15,66,2.28,61,0.98,1.07,44,2004
44,"Terry Williams, G",GASO,29,28.4,65,2.24,3.15,67,2.31,79,0.97,0.82,45,2004
45,"Solomon Forbes, G-F",MVSU,26,31.0,58,2.23,2.88,48,1.85,58,1.21,1.00,46,2004
46,"Brandon Robinson, F",AUB,28,26.9,62,2.21,3.29,54,1.93,61,1.15,1.02,47,2004
47,"Carldell 'Squeaky' Johnson, G",UAB,29,23.7,64,2.21,3.72,30,1.03,68,2.13,0.94,48,2004
48,"Davin White, G",CSN,30,32.2,66,2.20,2.74,80,2.67,92,0.83,0.72,49,2004
49,"Ishmael Joyce, G",JKST,29,31.4,63,2.17,2.77,76,2.62,94,0.83,0.67,50,2004
50,"Jave Meade, G",HC,28,33.9,60,2.14,2.53,53,1.89,58,1.13,1.03,51,2004
51,"Jeff Gloger, G-F",UCI,28,34.2,60,2.14,2.51,76,2.71,69,0.79,0.87,52,2004
52,"Antoine Pettway, G",ALA,29,32.8,62,2.14,2.61,43,1.48,73,1.44,0.85,53,2004
53,"Kameron Gray, G",CP,27,37.3,57,2.11,2.27,71,2.63,56,0.80,1.02,54,2004
54,"Shaun Wynn, G",BU,28,25.1,59,2.11,3.36,41,1.46,56,1.44,1.05,55,2004
55,"Tony Stockman, G",OSU,29,33.5,61,2.10,2.51,61,2.10,45,1.00,1.36,56,2004
56,"Kahleaf Watson, G",FAU,28,18.2,58,2.07,4.55,66,2.36,66,0.88,0.88,57,2004
57,"Raymond Felton, G",UNC,28,34.6,58,2.07,2.40,94,3.36,64,0.62,0.91,58,2004
58,"Ricky Minard, G-F",MORE,29,34.3,60,2.07,2.41,106,3.66,73,0.57,0.82,59,2004
59,"Tony Allen, G",OKST,30,31.3,62,2.07,2.64,78,2.60,90,0.79,0.69,60,2004
60,"Jason Braxton, G",ASU,27,28.8,55,2.04,2.83,63,2.33,80,0.87,0.69,61,2004
61,"Kevin Hammack, G",CIT,27,31.3,55,2.04,2.60,122,4.52,57,0.45,0.96,62,2004
62,"Marquis Poole, G",IDST,28,33.8,57,2.04,2.41,111,3.96,64,0.51,0.89,63,2004
63,"Luis Flores, G",MAN,29,36.1,59,2.03,2.26,69,2.38,70,0.86,0.84,64,2004
64,"O'Neal Carter, G",COOK,29,30.0,59,2.03,2.71,99,3.41,99,0.60,0.60,65,2004
65,"Carl Elliott, G",GW,29,26.3,59,2.03,3.09,96,3.31,59,0.61,1.00,66,2004
66,"Raymond Anthony, G",LAM,29,33.4,59,2.03,2.44,71,2.45,58,0.83,1.02,67,2004
67,"Robert Hite, G",MIA,30,30.4,61,2.03,2.67,65,2.17,60,0.94,1.02,68,2004
68,"B.J. Banks, G",SFA,30,26.1,61,2.03,3.12,54,1.80,70,1.13,0.87,69,2004
69,"Doron Perkins, G",SCU,31,25.6,62,2.00,3.12,68,2.19,90,0.91,0.69,70,2004
70,"Darren Brooks, G",SIU,29,31.7,58,2.00,2.52,67,2.31,62,0.87,0.94,71,2004
71,"Charles Brown, G",LMU,29,29.5,58,2.00,2.71,106,3.66,65,0.55,0.89,72,2004
72,"Richard Little, G",VMI,28,31.0,56,2.00,2.58,115,4.11,42,0.49,1.33,73,2004
73,"Ronnie Brewer, G",ARK,28,32.4,56,2.00,2.47,72,2.57,47,0.78,1.19,74,2004
74,"Andre Stanley, G",SJU,23,28.1,46,2.00,2.85,44,1.91,61,1.05,0.75,75,2004
75,"Rawle Marshall, G",OAK,30,34.9,59,1.97,2.25,90,3.00,66,0.66,0.89,76,2004
76,"Mohamed Hachad, G",NW,29,30.4,57,1.97,2.59,50,1.72,74,1.14,0.77,77,2004
77,"Darrel Owens, G-F",GTWN,28,29.0,55,1.96,2.71,42,1.50,63,1.31,0.87,78,2004
78,"Shejdie Childs, G",UNH,28,20.8,55,1.96,3.77,76,2.71,56,0.72,0.98,79,2004
79,"Brandon Bowman, F",GTWN,28,34.7,55,1.96,2.27,103,3.68,74,0.53,0.74,80,2004
80,"Sonny Troutman, G",OHIO,24,25.7,47,1.96,3.05,63,2.63,57,0.75,0.82,81,2004
81,"Jarrius Jackson, G",TTU,32,32.1,62,1.94,2.41,35,1.09,39,1.77,1.59,82,2004
82,"Jeff Gardner, G",IDST,31,32.8,60,1.94,2.36,58,1.87,73,1.03,0.82,83,2004
83,"James Thues, G",DET,30,24.5,58,1.93,3.16,75,2.50,54,0.77,1.07,84,2004
84,"James Gillingham, G",BRAD,30,33.9,58,1.93,2.28,70,2.33,104,0.83,0.56,85,2004
85,"Mike Williams, F",WMU,30,28.4,58,1.93,2.72,47,1.57,85,1.23,0.68,86,2004
86,"Scottie Rice, G",ELON,29,28.1,56,1.93,2.75,86,2.97,84,0.65,0.67,87,2004
87,"Brian Hamilton, F",ULL,28,29.7,54,1.93,2.60,68,2.43,84,0.79,0.64,88,2004
88,"Lenny Collins, G-F",COR,27,32.1,52,1.93,2.40,49,1.81,62,1.06,0.84,89,2004
89,"Rashid Smith, G",RICE,32,30.1,61,1.91,2.54,104,3.25,84,0.59,0.73,90,2004
90,"Jarrett Jack, G",GT,32,31.2,61,1.91,2.45,97,3.03,68,0.63,0.90,91,2004
91,"Armond Williams, F",UIC,31,31.0,59,1.90,2.45,57,1.84,76,1.04,0.78,92,2004
92,"Austen Rowland, G",LEH,30,31.9,57,1.90,2.38,89,2.97,49,0.64,1.16,93,2004
93,"Bernard Robinson Jr., F",MICH,29,32.2,55,1.90,2.36,81,2.79,71,0.68,0.77,94,2004
94,"Herbert Evans, G",TROY,29,32.4,55,1.90,2.34,45,1.55,45,1.22,1.22,95,2004
95,"Adam Mark, F",BEL,29,34.1,55,1.90,2.22,81,2.79,82,0.68,0.67,96,2004
96,"Aaron Miles, G",KU,29,33.7,55,1.90,2.25,72,2.48,50,0.76,1.10,97,2004
97,"Timmy Bowers, G",MSST,28,35.6,53,1.89,2.13,97,3.46,38,0.55,1.39,98,2004
98,"Walker Russell, G",JVST,28,33.5,53,1.89,2.26,100,3.57,74,0.53,0.72,99,2004
99,"Ka'Ron Barnes, G",COR,27,35.1,51,1.89,2.15,115,4.26,80,0.44,0.64,100,2004
100,"Tyronn Mitchell, G",NWST,26,23.7,49,1.88,3.18,60,2.31,56,0.82,0.88,101,2004
101,"Will Funn, G",PRST,26,33.1,49,1.88,2.28,101,3.88,70,0.49,0.70,102,2004
102,"Zione White, G",HP,30,29.2,56,1.87,2.55,65,2.17,63,0.86,0.89,103,2004
103,"Dwayne Broyles, G-F",JMU,28,32.1,52,1.86,2.32,78,2.79,73,0.67,0.71,104,2004
104,"Zabian Dowdell, G",VT,28,33.8,52,1.86,2.20,63,2.25,52,0.83,1.00,105,2004
105,"Brian Fisk, G",LIP,28,32.4,52,1.86,2.29,79,2.82,79,0.66,0.66,106,2004
106,"James Moore, F",NMSU,27,31.1,50,1.85,2.38,61,2.26,82,0.82,0.61,107,2004
107,"Kevin Martin, G",WCU,27,31.2,50,1.85,2.37,84,3.11,52,0.60,0.96,108,2004
108,"Francisco Garcia, F",LOU,27,30.2,50,1.85,2.45,76,2.81,72,0.66,0.69,109,2004
109,"Rodney Billups, G",DEN,27,33.6,50,1.85,2.21,93,3.44,76,0.54,0.66,110,2004
110,"Jason Forte, G",BRWN,26,34.2,48,1.85,2.16,90,3.46,59,0.53,0.81,111,2004
111,"Andre Hazel, G",SF,31,26.3,57,1.84,2.80,110,3.55,90,0.52,0.63,112,2004
112,"Mitchell Beauford, G",STON,30,29.7,55,1.83,2.47,67,2.23,71,0.82,0.77,113,2004
113,"E.J. Gallup, G",CCAR,29,30.8,53,1.83,2.37,53,1.83,56,1.00,0.95,114,2004
114,"Steven Wright, G",BGSU,29,29.2,53,1.83,2.51,105,3.62,101,0.50,0.52,115,2004
115,"Alex Acker, G",PEPP,29,32.4,53,1.83,2.26,72,2.48,63,0.74,0.84,116,2004
116,"Bryan Hopkins, G",SMU,29,34.1,53,1.83,2.14,108,3.72,85,0.49,0.62,117,2004
117,"Rashad Wright, G",UGA,28,37.0,51,1.82,1.97,60,2.14,52,0.85,0.98,118,2004
118,"Josh Pace, G-F",SYR,28,33.5,51,1.82,2.18,42,1.50,47,1.21,1.09,119,2004
119,"Gerry McNamara, G",SYR,28,36.3,51,1.82,2.01,72,2.57,57,0.71,0.89,120,2004
0,"Obie Trotter, G",AAMU,31,33.8,122,3.94,4.66,103,3.32,80,1.18,1.53,1,2005
1,"Luis Ford, G",HOW,10,34.9,38,3.80,4.36,29,2.90,29,1.31,1.31,2,2005
2,"Chakowby Hicks, G",NORF,27,36.0,91,3.37,3.74,95,3.52,55,0.96,1.65,3,2005
3,"Keydren (Keekee) Clark, G",SPU,28,38.7,93,3.32,3.43,81,2.89,57,1.15,1.63,4,2005
4,"Eddie Basden, F",CHAR,28,36.0,91,3.25,3.61,72,2.57,56,1.26,1.63,5,2005
5,"Hosea Butler, G",MVSU,28,35.1,91,3.25,3.70,62,2.21,67,1.47,1.36,6,2005
6,"Kevin Hamilton, G",HC,30,34.3,89,2.97,3.46,82,2.73,74,1.09,1.20,7,2005
7,"Ibrahim Jaaber, G",PENN,28,34.6,83,2.96,3.42,57,2.04,73,1.46,1.14,8,2005
8,"Mardy Collins, G",TEM,29,37.6,85,2.93,3.12,73,2.52,66,1.16,1.29,9,2005
9,"DaShawn Freeman, G",SAC,28,25.4,82,2.93,4.61,85,3.04,89,0.96,0.92,10,2005
10,"Damitrius Coleman, G",MER,28,31.6,80,2.86,3.61,125,4.46,76,0.64,1.05,11,2005
11,"Orien Greene, G",ULL,24,32.3,66,2.75,3.41,78,3.25,66,0.85,1.00,12,2005
12,"Dainmon Gonner, F",SEMO,27,37.0,74,2.74,2.96,68,2.52,68,1.09,1.09,13,2005
13,"D.J. Thompson, G",APP,30,29.2,81,2.70,3.70,81,2.70,62,1.00,1.31,14,2005
14,"Darren Brooks, G",SIU,33,33.0,89,2.70,3.27,80,2.42,57,1.11,1.56,15,2005
15,"Carl Elliott, G",GW,29,28.8,78,2.69,3.73,95,3.28,67,0.82,1.16,16,2005
16,"Ian Boylan, G-F",CSN,31,33.0,82,2.65,3.21,67,2.16,71,1.22,1.15,17,2005
17,"Brian Latham, G",HOU,31,26.6,82,2.65,3.97,47,1.52,80,1.74,1.03,18,2005
18,"Ricky Hickman, G",UNCG,30,31.6,79,2.63,3.34,83,2.77,61,0.95,1.30,19,2005
19,"Tim Jennings, G",WEBB,30,34.1,78,2.60,3.05,99,3.30,84,0.79,0.93,20,2005
20,"Keith Triplett, G",TOL,29,32.4,75,2.59,3.19,67,2.31,58,1.12,1.29,21,2005
21,"Ronald Ross, G",TTU,30,34.0,76,2.53,2.98,48,1.60,57,1.58,1.33,22,2005
22,"Ronnie Brewer, G",ARK,30,31.8,76,2.53,3.18,61,2.03,60,1.25,1.27,23,2005
23,"Rajon Rondo, G",UK,30,24.5,75,2.50,4.08,57,1.90,56,1.32,1.34,24,2005
24,"Ije Nwankwo, C",PUR,2,14.0,5,2.50,7.14,4,2.00,6,1.25,0.83,25,2005
25,"Pierre Pierce, G",IOWA,20,34.0,49,2.45,2.89,84,4.20,47,0.58,1.04,26,2005
26,"Willie Depron, G",NICH,27,33.7,66,2.44,2.90,94,3.48,54,0.70,1.22,27,2005
27,"Sundiata Gaines, G",UGA,27,34.4,66,2.44,2.84,75,2.78,60,0.88,1.10,28,2005
28,"Pele Paelay, G",CCAR,29,32.9,70,2.41,2.94,65,2.24,48,1.08,1.46,29,2005
29,"Joseph Frazier, G-F",CSN,17,27.9,41,2.41,3.46,45,2.65,51,0.91,0.80,30,2005
30,"Brian Hamilton, F",ULL,30,33.1,72,2.40,2.90,69,2.30,103,1.04,0.70,31,2005
31,"Chris Paul, G",WAKE,30,32.9,72,2.40,2.91,82,2.73,74,0.88,0.97,32,2005
32,"Doron Perkins, G",SCU,31,30.4,74,2.39,3.15,82,2.65,111,0.90,0.67,33,2005
33,"Bobby Dixon, G",TROY,30,30.0,71,2.37,3.15,76,2.53,52,0.93,1.37,34,2005
34,"Bryan Hopkins, G",SMU,25,36.7,59,2.36,2.57,93,3.72,73,0.63,0.81,35,2005
35,"Tony Tate, G",FAMU,29,33.1,68,2.34,2.83,105,3.62,69,0.65,0.99,36,2005
36,"Kahleaf Watson, G",FAU,27,26.5,63,2.33,3.52,96,3.56,87,0.66,0.72,37,2005
37,"DeAngelo Newsom, F",SUU,28,30.6,65,2.32,3.03,62,2.21,85,1.05,0.76,38,2005
38,"Curtis Stinson, G",ISU,29,35.5,67,2.31,2.60,94,3.24,83,0.71,0.81,39,2005
39,"Carldell 'Squeaky' Johnson, G",UAB,31,31.0,71,2.29,2.95,53,1.71,59,1.34,1.20,40,2005
40,"Charlie White, G",JKST,29,25.8,66,2.28,3.53,72,2.48,87,0.92,0.76,41,2005
41,"Sonny Troutman, G",OHIO,31,29.7,70,2.26,3.04,88,2.84,76,0.80,0.92,42,2005
42,"Will Funn, G",PRST,28,34.5,62,2.21,2.57,96,3.43,80,0.65,0.78,43,2005
43,"Walker Russell, G",JVST,29,36.7,64,2.21,2.41,131,4.52,77,0.49,0.83,44,2005
44,"Elton Nesbitt, G",GASO,31,31.5,68,2.19,2.79,75,2.42,83,0.91,0.82,45,2005
45,"Jamon Gordon, G",VT,27,33.7,59,2.19,2.59,72,2.67,86,0.82,0.69,46,2005
46,"Tim Smith, G",ETSU,29,35.9,63,2.17,2.42,140,4.83,44,0.45,1.43,47,2005
