,RK,PLAYER,TEAM,GP,PPG,3PM,3PA,total_3PM,total_3PA,3P%,2PM,2PA,2P%,PPS,FG%
767,48,"John Reimold, F",BGSU,29,18.5,2.7,6,79,173,0.457,103,175.0,0.589,1.54,0.636
768,49,"Luke Owings, F",PRIN,24,6.3,1.1,2,26,57,0.456,29,45.0,0.644,1.49,0.667
769,50,"Chris Quinn, G",ND,28,12.6,2.4,5,66,145,0.455,54,122.0,0.443,1.32,0.573
770,51,"Dee Brown, G",ILL,33,13.4,2.6,6,85,187,0.455,67,112.0,0.598,1.47,0.651
771,52,"Todd Peterson, F",NIU,28,11.3,2.3,5,65,143,0.455,38,86.0,0.442,1.38,0.592
772,53,"Bryson Krueger, G-F",ASU,30,6.9,1.3,3,40,88,0.455,34,76.0,0.447,1.26,0.573
773,54,"Dupree Fletcher, G",EVAN,3,8.3,1.7,4,5,11,0.455,4,5.0,0.8,1.56,0.719
774,55,"Sean Morris, G",CSU,20,8.3,2.0,4,39,86,0.453,13,39.0,0.333,1.32,0.572
775,56,"Ben Jacobson, G",UNI,31,17.8,2.2,5,68,150,0.453,135,264.0,0.511,1.33,0.572
776,57,"Alexander Harper, G",VCU,31,6.1,0.9,2,29,64,0.453,30,63.0,0.476,1.5,0.579
777,58,"Kyle Roemer, G-F",COLG,28,10.0,1.9,4,53,117,0.453,45,100.0,0.45,1.29,0.574
778,59,"Pat Carroll, G-F",JOES,29,18.0,4.0,9,115,254,0.453,59,140.0,0.421,1.32,0.588
779,60,"Brandon Gay, F",USD,29,17.4,2.0,4,57,126,0.452,109,213.0,0.512,1.49,0.574
780,61,"Seth Colclasure, G",VALP,31,8.9,2.1,5,66,146,0.452,24,50.0,0.48,1.41,0.628
781,62,"Drake Diener, G",DEP,29,13.6,2.6,6,75,166,0.452,53,115.0,0.461,1.4,0.589
782,63,"Yuri Demetris, G",PITT,14,3.8,1.0,2,14,31,0.452,4,7.0,0.571,1.39,0.658
783,64,"Tony Helton, G",ULM,25,4.8,0.9,2,23,51,0.451,23,49.0,0.469,1.19,0.575
784,65,"Deke Thompson, G",MOST,30,8.7,1.4,3,41,91,0.451,52,123.0,0.423,1.22,0.53
785,66,"Gabe Pruitt, G",USC,29,12.3,2.2,5,63,140,0.45,61,115.0,0.53,1.4,0.61
786,67,"Ronald Ross, G",TTU,30,17.0,1.2,3,36,80,0.45,168,304.0,0.553,1.33,0.578
787,68,"Daniel Freeman, G",JMU,4,19.0,2.3,5,9,20,0.45,19,31.0,0.613,1.49,0.637
788,69,"Curtis Ingram, G",WOF,10,3.5,0.9,2,9,20,0.45,3,5.0,0.6,1.4,0.66
789,70,"Charles Lee, G-F",BUCK,31,12.5,1.4,3,44,98,0.449,84,190.0,0.442,1.35,0.521
790,71,"Keonta Howell, G-F",TOL,28,9.3,1.2,3,34,76,0.447,62,118.0,0.525,1.34,0.582
791,72,"Junior Pehoua, G",HAMP,30,4.4,1.0,2,29,65,0.446,16,50.0,0.32,1.15,0.517
792,73,"Danny Granger, F",UNM,29,19.0,1.5,3,44,99,0.444,134,234.0,0.573,1.65,0.601
793,74,"Sean Taibi, G",UNCO,28,9.1,1.6,4,44,99,0.444,46,92.0,0.5,1.34,0.586
794,75,"A.J. Ratliff, G",IND,25,6.0,1.0,2,24,54,0.444,27,49.0,0.551,1.47,0.612
795,76,"David Schroeder, G",IDST,3,15.3,2.7,6,8,18,0.444,10,18.0,0.556,1.28,0.611
796,77,"Levi Rost, F",WMU,31,16.5,2.8,6,87,196,0.444,68,152.0,0.447,1.47,0.57
797,78,"Dawid Przybyszewski, C",VAN,31,6.8,1.5,3,47,106,0.443,23,52.0,0.442,1.34,0.592
798,79,"Ben Rushing, G",EKY,18,6.8,1.7,4,31,70,0.443,8,11.0,0.727,1.52,0.673
799,80,"Tim Blackwell, G",UMKC,24,10.1,2.1,5,50,113,0.442,25,58.0,0.431,1.42,0.585
800,81,"Antoine Wright, G-F",TAMU,28,18.0,2.3,5,65,147,0.442,111,209.0,0.531,1.42,0.586
801,82,"Matt Nowlin, G",ELON,6,9.0,2.5,6,15,34,0.441,4,10.0,0.4,1.23,0.602
802,83,"Lawrence McKenzie, G",OKLA,30,9.5,2.4,5,71,161,0.441,27,67.0,0.403,1.25,0.586
803,84,"J. Robert Merritt, F",SAM,28,16.5,3.0,7,85,193,0.44,57,101.0,0.564,1.57,0.628
804,85,"Kennedy Winston, F",ALA,31,17.8,1.9,4,59,134,0.44,137,290.0,0.472,1.3,0.532
805,86,"Raymond Felton, G",UNC,30,12.7,1.8,4,55,125,0.44,69,144.0,0.479,1.42,0.563
806,87,"Michael Jenkins, G",NW,24,4.5,0.9,2,22,50,0.44,13,35.0,0.371,1.28,0.541
807,88,"Ross Schraeder, G",UCI,29,12.9,2.7,6,79,180,0.439,44,100.0,0.44,1.34,0.58
808,89,"Ilian Evtimov, F-C",NCST,32,9.8,1.9,4,60,137,0.438,45,87.0,0.517,1.4,0.603
809,90,"John Lucas III, G",OKST,30,18.1,3.1,7,94,215,0.437,97,200.0,0.485,1.31,0.573
810,91,"Shan Foster, G-F",VAN,31,8.6,1.9,4,59,135,0.437,30,69.0,0.435,1.31,0.581
811,92,"Craig Bradshaw, F-C",WIN,32,8.0,1.0,2,31,71,0.437,59,126.0,0.468,1.3,0.536
812,93,"Paul Marigney, G",SMC,24,17.0,2.3,5,55,126,0.437,79,153.0,0.516,1.46,0.579
813,94,"Ben Earle, G-F",FUR,29,6.9,1.8,4,51,117,0.436,14,37.0,0.378,1.29,0.588
814,95,"Mike Lang, G",DART,26,11.8,2.1,5,54,124,0.435,48,110.0,0.436,1.31,0.551
815,96,"Danny McElhinny, G",EMU,30,6.3,1.8,4,54,124,0.435,5,15.0,0.333,1.35,0.619
816,97,"Matt Walsh, F",FLA,26,14.5,2.5,6,64,147,0.435,55,105.0,0.524,1.5,0.599
817,98,"DeMario Anderson, G",CCSU,27,14.1,1.5,3,40,92,0.435,99,207.0,0.478,1.28,0.532
818,99,"Jarrett Jack, G",GT,30,15.5,1.4,3,43,99,0.434,110,203.0,0.542,1.54,0.578
819,100,"John Goldsberry, G",UNCW,27,12.1,2.2,5,59,136,0.434,43,86.0,0.5,1.48,0.592
820,101,"Zabian Dowdell, G",VT,28,14.5,2.2,5,62,143,0.434,85,178.0,0.478,1.27,0.555
821,102,"Rick McFadden, F",AKR,29,8.4,1.6,4,45,104,0.433,34,80.0,0.425,1.32,0.552
822,103,"Jason Edwin, G-F",KENT,32,12.2,1.6,4,51,118,0.432,96,193.0,0.497,1.25,0.555
823,104,"Charles Cook, F",MSM,25,12.2,2.8,6,70,162,0.432,36,89.0,0.404,1.22,0.562
824,105,"Larry O'Bannon, G-F",LOU,33,14.9,2.3,5,76,176,0.432,78,140.0,0.557,1.56,0.608
825,106,"Curtis Sumpter, F",NOVA,27,16.1,1.4,3,38,88,0.432,105,213.0,0.493,1.44,0.538
826,107,"Grant Carter, G",ARMY,23,5.5,1.7,4,38,88,0.432,2,6.0,0.333,1.35,0.628
827,108,"Clayton Hanson, G",WIS,30,6.2,1.5,3,44,102,0.431,18,44.0,0.409,1.27,0.575
828,109,"Dan Grunfeld, G",STAN,22,17.9,1.3,3,28,65,0.431,112,215.0,0.521,1.41,0.55
829,110,"Lamar Butler, G",GMU,29,15.7,3.0,7,87,202,0.431,64,130.0,0.492,1.37,0.586
830,111,"Alex Acker, G",PEPP,31,16.6,1.9,4,59,137,0.431,124,270.0,0.459,1.27,0.522
831,112,"Josh Jenkins, G",NMSU,30,10.1,2.0,5,59,137,0.431,35,95.0,0.368,1.3,0.532
832,113,"Jon Mills, F",SAM,28,7.0,1.2,3,34,79,0.43,35,61.0,0.574,1.4,0.614
833,114,"Brian Roberts, G",DAY,29,9.2,1.5,3,43,100,0.43,47,100.0,0.47,1.34,0.558
834,115,"Terrick Willoughby, G-F",SEMO,29,9.8,1.6,4,46,107,0.43,53,119.0,0.445,1.26,0.54
835,116,"Justin Harbert, G",UTSA,22,13.4,2.6,6,57,133,0.429,46,86.0,0.535,1.35,0.6
836,117,"Johnny Mathies, G",CREI,33,11.6,1.3,3,42,98,0.429,79,162.0,0.488,1.48,0.546
837,118,"Marcus Williams, G",CONN,29,9.2,0.9,2,27,63,0.429,68,170.0,0.4,1.14,0.466
838,119,"Brad Brickens, G",TXST,16,9.2,1.3,3,21,49,0.429,27,65.0,0.415,1.29,0.513
839,120,"Mohamed Abukar, F",FLA,7,5.0,0.9,2,6,14,0.429,6,12.0,0.5,1.35,0.577
840,1,"Joey Butler, G",MSM,1,14.0,2.0,2,2,2,1.0,2,6.0,0.333,1.75,0.625
841,2,"Salim Stoudamire, G",ARIZ,32,18.4,3.3,6,107,204,0.525,81,160.0,0.506,1.62,0.663
842,3,"Brett Hale, G",SEMO,13,9.0,1.7,3,22,42,0.524,21,44.0,0.477,1.36,0.628
843,4,"Steve Barnes, G",SUU,26,6.2,1.1,2,28,54,0.519,27,56.0,0.482,1.46,0.627
844,5,"Nick Dewitz, F",ORST,26,13.3,1.2,2,32,62,0.516,102,210.0,0.486,1.27,0.551
845,6,"Matt McCraw, G",AFA,30,9.0,1.8,4,55,108,0.509,30,59.0,0.508,1.61,0.674
846,7,"Aaron Miles, G",KU,29,9.5,1.4,3,40,79,0.506,46,104.0,0.442,1.5,0.579
847,8,"Jarrett Howell, G",UTA,28,12.0,1.5,3,43,85,0.506,53,113.0,0.469,1.69,0.593
848,9,"Jeremiah Boswell, G",CLMB,27,9.6,1.6,3,44,88,0.5,42,86.0,0.488,1.49,0.621
849,10,"Bobby Leach, G",TAMU,28,8.1,1.0,2,28,56,0.5,43,92.0,0.467,1.53,0.574
850,11,"David Mazza, G",DUQ,1,3.0,1.0,2,1,2,0.5,0,0.0,0.0,1.5,0.75
851,12,"J.D. Collins, G",WVU,1,5.0,1.0,2,1,2,0.5,1,3.0,0.333,1.0,0.5
852,13,"Chris Paul, G",WAKE,30,14.9,1.4,3,42,85,0.494,89,202.0,0.441,1.55,0.53
853,14,"Will Whittington, G-F",MRST,28,16.1,3.5,7,97,197,0.492,38,99.0,0.384,1.52,0.62
854,15,"Jimmy Motz, F",CREI,33,5.9,1.6,3,53,108,0.491,16,31.0,0.516,1.41,0.687
855,16,"Jason Baker, G",SUU,28,8.7,2.0,4,57,117,0.487,22,53.0,0.415,1.43,0.632
856,17,"Thomas Bailey, F",AMCC,28,12.5,1.1,2,32,66,0.485,104,189.0,0.55,1.37,0.596
857,18,"Will Scott, G",COR,27,4.3,1.1,2,31,64,0.484,9,23.0,0.391,1.32,0.638
858,19,"Dennis Trammell, G",BALL,23,15.9,2.6,5,59,122,0.484,65,144.0,0.451,1.38,0.577
859,20,"Doug Penno, G",M-OH,28,4.2,1.0,2,29,60,0.483,9,26.0,0.346,1.36,0.61
860,21,"Kenton Paulino, G",TEX,27,7.1,1.6,3,42,87,0.483,13,41.0,0.317,1.5,0.594
861,22,"Derek Raivio, G",GONZ,29,13.5,2.6,5,75,157,0.478,33,88.0,0.375,1.6,0.594
862,23,"Daniel Kickert, F",SMC,33,16.6,1.9,4,64,134,0.478,129,221.0,0.584,1.54,0.634
863,24,"Luke Spencer-Gardner, G",ORU,25,9.5,1.6,3,39,82,0.476,29,74.0,0.392,1.52,0.561
864,25,"Dominick Mejia, G",DREX,21,9.9,2.2,5,47,99,0.475,20,51.0,0.392,1.38,0.603
865,26,"Jaycee Carroll, G",USU,31,14.6,2.4,5,74,156,0.474,93,161.0,0.578,1.43,0.644
866,27,"Anthony Atkinson, G",CAMP,10,10.2,1.8,4,18,38,0.474,18,41.0,0.439,1.29,0.57
867,28,"Steve Novak, F",MARQ,30,13.9,2.9,6,88,187,0.471,38,82.0,0.463,1.55,0.632
868,29,"Floyd North III, G-F",USD,14,9.2,1.1,2,16,34,0.471,23,56.0,0.411,1.43,0.522
869,30,"Jon Iati, G",ALBY,6,11.0,2.7,6,16,34,0.471,4,13.0,0.308,1.4,0.596
870,31,"Troy DeVries, G",UNM,32,11.3,2.9,6,93,199,0.467,25,56.0,0.446,1.42,0.645
871,32,"Nate Funk, G",CREI,32,17.6,2.0,4,63,135,0.467,138,254.0,0.543,1.45,0.598
872,33,"Marcus Brown, F",GAST,29,14.9,2.2,5,63,135,0.467,96,213.0,0.451,1.24,0.547
873,34,"Garrett Farha, G",SFU,28,5.9,1.3,3,35,75,0.467,10,43.0,0.233,1.41,0.53
874,35,"Rommel Marentez, G",UCD,25,9.6,1.4,3,34,73,0.466,43,92.0,0.467,1.45,0.57
875,36,"Chris Lofton, G",TENN,31,13.2,3.0,6,93,200,0.465,48,93.0,0.516,1.4,0.64
876,37,"Anthony Winchester, G",WKU,29,17.9,2.5,5,73,157,0.465,109,203.0,0.537,1.44,0.607
877,38,"Jean Felix, F",ALA,28,5.6,1.1,2,32,69,0.464,16,36.0,0.444,1.5,0.61
878,39,"Marc Jackson, G",UTAH,32,10.6,1.8,4,56,121,0.463,36,80.0,0.45,1.69,0.597
879,40,"Ross DeRogatis, G",USD,29,7.9,1.7,4,48,104,0.462,22,58.0,0.379,1.41,0.58
880,41,"Joey Butler, G",MSM,1,14.0,2.0,2,2,2,1.0,2,6.0,0.333,1.75,0.625
881,42,"Salim Stoudamire, G",ARIZ,32,18.4,3.3,6,107,204,0.525,81,160.0,0.506,1.62,0.663
882,43,"Brett Hale, G",SEMO,13,9.0,1.7,3,22,42,0.524,21,44.0,0.477,1.36,0.628
883,44,"Steve Barnes, G",SUU,26,6.2,1.1,2,28,54,0.519,27,56.0,0.482,1.46,0.627
884,45,"Nick Dewitz, F",ORST,26,13.3,1.2,2,32,62,0.516,102,210.0,0.486,1.27,0.551
885,46,"Matt McCraw, G",AFA,30,9.0,1.8,4,55,108,0.509,30,59.0,0.508,1.61,0.674
886,47,"Aaron Miles, G",KU,29,9.5,1.4,3,40,79,0.506,46,104.0,0.442,1.5,0.579
887,48,"Jarrett Howell, G",UTA,28,12.0,1.5,3,43,85,0.506,53,113.0,0.469,1.69,0.593
888,49,"Jeremiah Boswell, G",CLMB,27,9.6,1.6,3,44,88,0.5,42,86.0,0.488,1.49,0.621
889,50,"Bobby Leach, G",TAMU,28,8.1,1.0,2,28,56,0.5,43,92.0,0.467,1.53,0.574
890,51,"David Mazza, G",DUQ,1,3.0,1.0,2,1,2,0.5,0,0.0,0.0,1.5,0.75
891,52,"J.D. Collins, G",WVU,1,5.0,1.0,2,1,2,0.5,1,3.0,0.333,1.0,0.5
892,53,"Chris Paul, G",WAKE,30,14.9,1.4,3,42,85,0.494,89,202.0,0.441,1.55,0.53
893,54,"Will Whittington, G-F",MRST,28,16.1,3.5,7,97,197,0.492,38,99.0,0.384,1.52,0.62
894,55,"Jimmy Motz, F",CREI,33,5.9,1.6,3,53,108,0.491,16,31.0,0.516,1.41,0.687
895,56,"Jason Baker, G",SUU,28,8.7,2.0,4,57,117,0.487,22,53.0,0.415,1.43,0.632
896,57,"Thomas Bailey, F",AMCC,28,12.5,1.1,2,32,66,0.485,104,189.0,0.55,1.37,0.596
897,58,"Will Scott, G",COR,27,4.3,1.1,2,31,64,0.484,9,23.0,0.391,1.32,0.638
898,59,"Dennis Trammell, G",BALL,23,15.9,2.6,5,59,122,0.484,65,144.0,0.451,1.38,0.577
899,60,"Doug Penno, G",M-OH,28,4.2,1.0,2,29,60,0.483,9,26.0,0.346,1.36,0.61
900,61,"Kenton Paulino, G",TEX,27,7.1,1.6,3,42,87,0.483,13,41.0,0.317,1.5,0.594
901,62,"Derek Raivio, G",GONZ,29,13.5,2.6,5,75,157,0.478,33,88.0,0.375,1.6,0.594
902,63,"Daniel Kickert, F",SMC,33,16.6,1.9,4,64,134,0.478,129,221.0,0.584,1.54,0.634
903,64,"Luke Spencer-Gardner, G",ORU,25,9.5,1.6,3,39,82,0.476,29,74.0,0.392,1.52,0.561
904,65,"Dominick Mejia, G",DREX,21,9.9,2.2,5,47,99,0.475,20,51.0,0.392,1.38,0.603
905,66,"Jaycee Carroll, G",USU,31,14.6,2.4,5,74,156,0.474,93,161.0,0.578,1.43,0.644
906,67,"Anthony Atkinson, G",CAMP,10,10.2,1.8,4,18,38,0.474,18,41.0,0.439,1.29,0.57
907,68,"Steve Novak, F",MARQ,30,13.9,2.9,6,88,187,0.471,38,82.0,0.463,1.55,0.632
908,69,"Floyd North III, G-F",USD,14,9.2,1.1,2,16,34,0.471,23,56.0,0.411,1.43,0.522
909,70,"Jon Iati, G",ALBY,6,11.0,2.7,6,16,34,0.471,4,13.0,0.308,1.4,0.596
910,71,"Troy DeVries, G",UNM,32,11.3,2.9,6,93,199,0.467,25,56.0,0.446,1.42,0.645
911,72,"Nate Funk, G",CREI,32,17.6,2.0,4,63,135,0.467,138,254.0,0.543,1.45,0.598
912,73,"Marcus Brown, F",GAST,29,14.9,2.2,5,63,135,0.467,96,213.0,0.451,1.24,0.547
913,74,"Garrett Farha, G",SFU,28,5.9,1.3,3,35,75,0.467,10,43.0,0.233,1.41,0.53
914,75,"Rommel Marentez, G",UCD,25,9.6,1.4,3,34,73,0.466,43,92.0,0.467,1.45,0.57
915,76,"Chris Lofton, G",TENN,31,13.2,3.0,6,93,200,0.465,48,93.0,0.516,1.4,0.64
916,77,"Anthony Winchester, G",WKU,29,17.9,2.5,5,73,157,0.465,109,203.0,0.537,1.44,0.607
917,78,"Jean Felix, F",ALA,28,5.6,1.1,2,32,69,0.464,16,36.0,0.444,1.5,0.61
918,79,"Marc Jackson, G",UTAH,32,10.6,1.8,4,56,121,0.463,36,80.0,0.45,1.69,0.597
919,80,"Ross DeRogatis, G",USD,29,7.9,1.7,4,48,104,0.462,22,58.0,0.379,1.41,0.58
920,81,"Joey Butler, G",MSM,1,14.0,2.0,2,2,2,1.0,2,6.0,0.333,1.75,0.625
921,82,"Salim Stoudamire, G",ARIZ,32,18.4,3.3,6,107,204,0.525,81,160.0,0.506,1.62,0.663
922,83,"Brett Hale, G",SEMO,13,9.0,1.7,3,22,42,0.524,21,44.0,0.477,1.36,0.628
923,84,"Steve Barnes, G",SUU,26,6.2,1.1,2,28,54,0.519,27,56.0,0.482,1.46,0.627
924,85,"Nick Dewitz, F",ORST,26,13.3,1.2,2,32,62,0.516,102,210.0,0.486,1.27,0.551
925,86,"Matt McCraw, G",AFA,30,9.0,1.8,4,55,108,0.509,30,59.0,0.508,1.61,0.674
926,87,"Aaron Miles, G",KU,29,9.5,1.4,3,40,79,0.506,46,104.0,0.442,1.5,0.579
927,88,"Jarrett Howell, G",UTA,28,12.0,1.5,3,43,85,0.506,53,113.0,0.469,1.69,0.593
928,89,"Jeremiah Boswell, G",CLMB,27,9.6,1.6,3,44,88,0.5,42,86.0,0.488,1.49,0.621
929,90,"Bobby Leach, G",TAMU,28,8.1,1.0,2,28,56,0.5,43,92.0,0.467,1.53,0.574
930,91,"David Mazza, G",DUQ,1,3.0,1.0,2,1,2,0.5,0,0.0,0.0,1.5,0.75
931,92,"J.D. Collins, G",WVU,1,5.0,1.0,2,1,2,0.5,1,3.0,0.333,1.0,0.5
932,93,"Chris Paul, G",WAKE,30,14.9,1.4,3,42,85,0.494,89,202.0,0.441,1.55,0.53
933,94,"Will Whittington, G-F",MRST,28,16.1,3.5,7,97,197,0.492,38,99.0,0.384,1.52,0.62
934,95,"Jimmy Motz, F",CREI,33,5.9,1.6,3,53,108,0.491,16,31.0,0.516,1.41,0.687
935,96,"Jason Baker, G",SUU,28,8.7,2.0,4,57,117,0.487,22,53.0,0.415,1.43,0.632
936,97,"Thomas Bailey, F",AMCC,28,12.5,1.1,2,32,66,0.485,104,189.0,0.55,1.37,0.596
937,98,"Will Scott, G",COR,27,4.3,1.1,2,31,64,0.484,9,23.0,0.391,1.32,0.638
938,99,"Dennis Trammell, G",BALL,23,15.9,2.6,5,59,122,0.484,65,144.0,0.451,1.38,0.577
939,100,"Doug Penno, G",M-OH,28,4.2,1.0,2,29,60,0.483,9,26.0,0.346,1.36,0.61
940,101,"Kenton Paulino, G",TEX,27,7.1,1.6,3,42,87,0.483,13,41.0,0.317,1.5,0.594
941,102,"Derek Raivio, G",GONZ,29,13.5,2.6,5,75,157,0.478,33,88.0,0.375,1.6,0.594
942,103,"Daniel Kickert, F",SMC,33,16.6,1.9,4,64,134,0.478,129,221.0,0.584,1.54,0.634
943,104,"Luke Spencer-Gardner, G",ORU,25,9.5,1.6,3,39,82,0.476,29,74.0,0.392,1.52,0.561
944,105,"Dominick Mejia, G",DREX,21,9.9,2.2,5,47,99,0.475,20,51.0,0.392,1.38,0.603
945,106,"Jaycee Carroll, G",USU,31,14.6,2.4,5,74,156,0.474,93,161.0,0.578,1.43,0.644
946,107,"Anthony Atkinson, G",CAMP,10,10.2,1.8,4,18,38,0.474,18,41.0,0.439,1.29,0.57
947,108,"Steve Novak, F",MARQ,30,13.9,2.9,6,88,187,0.471,38,82.0,0.463,1.55,0.632
948,109,"Floyd North III, G-F",USD,14,9.2,1.1,2,16,34,0.471,23,56.0,0.411,1.43,0.522
949,110,"Jon Iati, G",ALBY,6,11.0,2.7,6,16,34,0.471,4,13.0,0.308,1.4,0.596
950,111,"Troy DeVries, G",UNM,32,11.3,2.9,6,93,199,0.467,25,56.0,0.446,1.42,0.645
951,112,"Nate Funk, G",CREI,32,17.6,2.0,4,63,135,0.467,138,254.0,0.543,1.45,0.598
952,113,"Marcus Brown, F",GAST,29,14.9,2.2,5,63,135,0.467,96,213.0,0.451,1.24,0.547
953,114,"Garrett Farha, G",SFU,28,5.9,1.3,3,35,75,0.467,10,43.0,0.233,1.41,0.53
954,115,"Rommel Marentez, G",UCD,25,9.6,1.4,3,34,73,0.466,43,92.0,0.467,1.45,0.57
955,116,"Chris Lofton, G",TENN,31,13.2,3.0,6,93,200,0.465,48,93.0,0.516,1.4,0.64
956,117,"Anthony Winchester, G",WKU,29,17.9,2.5,5,73,157,0.465,109,203.0,0.537,1.44,0.607
957,118,"Jean Felix, F",ALA,28,5.6,1.1,2,32,69,0.464,16,36.0,0.444,1.5,0.61
958,119,"Marc Jackson, G",UTAH,32,10.6,1.8,4,56,121,0.463,36,80.0,0.45,1.69,0.597
959,120,"Ross DeRogatis, G",USD,29,7.9,1.7,4,48,104,0.462,22,58.0,0.379,1.41,0.58
960,1,"Kyle Carder, F",COLO,4,4.8,1.3,2,5,9,0.556,2,2.0,1.0,1.73,0.864
961,2,"Juma Kamara, F",PRST,28,11.4,1.7,3,48,91,0.527,68,144.0,0.472,1.36,0.596
962,3,"Andrew Wilson, G-F",FSU,28,6.3,1.4,3,40,79,0.506,16,31.0,0.516,1.6,0.691
963,4,"Carldell 'Squeaky' Johnson, G",UAB,30,7.5,1.4,3,41,82,0.5,39,101.0,0.386,1.23,0.549
964,5,"Dale Lamberth, F",MOST,28,7.8,1.1,2,30,60,0.5,53,91.0,0.582,1.45,0.649
965,6,"Preston Peterson, F",CSU,1,3.0,1.0,2,1,2,0.5,0,0.0,0.0,1.5,0.75
966,7,"Stephen Sir, G",NAU,31,11.3,3.0,6,92,185,0.497,25,58.0,0.431,1.44,0.671
967,8,"Sasa Cuic, F",ORST,30,13.5,1.2,2,36,73,0.493,90,184.0,0.489,1.58,0.56
968,9,"Esteban Bonzano, F-C",SUU,30,3.5,1.0,2,30,61,0.492,5,8.0,0.625,1.54,0.725
969,10,"Steve Barnes, G",SUU,30,8.4,1.5,3,45,92,0.489,39,74.0,0.527,1.51,0.642
970,11,"Jamar Smith, G",ILL,30,7.8,2.0,4,60,123,0.488,17,41.0,0.415,1.42,0.652
971,12,"Brandon Rush, G",KU,32,13.6,1.5,3,49,101,0.485,117,244.0,0.48,1.26,0.552
972,13,"Brock Reichner, G",BYU,28,10.5,1.8,4,51,106,0.481,46,105.0,0.438,1.39,0.581
973,14,"David Ryan, F",SIE,27,9.8,1.7,4,47,98,0.48,40,87.0,0.46,1.43,0.597
974,15,"Jason McLeish, G",EKY,29,17.8,2.0,4,57,119,0.479,111,219.0,0.507,1.52,0.581
975,16,"Dan Nwaelele, F",AFA,30,11.7,2.1,4,64,134,0.478,52,103.0,0.505,1.49,0.624
976,17,"Josh Alexander, F",SFA,29,14.2,2.5,5,73,153,0.477,69,116.0,0.595,1.54,0.664
977,18,"Alexander Harper, G",VCU,29,6.8,1.1,2,31,65,0.477,35,76.0,0.461,1.4,0.578
978,19,"J. Robert Merritt, F",SAM,31,17.6,3.9,8,120,252,0.476,60,134.0,0.448,1.41,0.622
979,20,"Keith Simmons, G",HC,32,14.2,1.9,4,60,126,0.476,98,175.0,0.56,1.51,0.625
980,21,"Virgil Matthews, G-F",MONT,29,10.0,1.0,2,28,59,0.475,74,144.0,0.514,1.43,0.571
981,22,"Ross Schraeder, G",UCI,29,13.1,2.6,5,74,156,0.474,51,98.0,0.52,1.5,0.638
982,23,"Marshall Strickland, G",IND,28,12.5,2.2,5,62,131,0.473,50,103.0,0.485,1.5,0.611
983,24,"Chris Hernandez, G",STAN,28,14.1,2.5,5,69,146,0.473,43,107.0,0.402,1.56,0.579
984,25,"Marcus Clark, G",SFA,27,12.0,1.6,3,43,91,0.473,66,141.0,0.468,1.4,0.563
985,26,"Josh Gomes, G",EIU,27,15.1,2.1,4,57,121,0.471,86,198.0,0.434,1.28,0.538
986,27,"Quinton Young, G",FAU,28,7.2,1.9,4,53,113,0.469,15,30.0,0.5,1.41,0.661
987,28,"Shawn Huff, G-F",VALP,15,7.5,1.0,2,15,32,0.469,23,44.0,0.523,1.47,0.599
988,29,"Nick George, F",VCU,29,16.9,1.8,4,52,111,0.468,115,246.0,0.467,1.38,0.541
989,30,"Richard Law, F",USA,24,11.2,2.1,4,50,107,0.467,42,72.0,0.583,1.5,0.654
990,31,"Gabe McMillen, G",STET,32,7.9,1.3,3,42,90,0.467,43,88.0,0.489,1.42,0.596
991,32,"Kyle Shiloh, G",NEV,32,8.8,1.4,3,46,99,0.465,44,113.0,0.389,1.33,0.533
992,33,"Jamal Abu-Shamala, G-F",MINN,28,4.9,0.9,2,26,56,0.464,21,45.0,0.467,1.37,0.594
993,34,"Steve Novak, F",MARQ,30,17.5,3.9,8,116,250,0.464,52,103.0,0.505,1.48,0.64
994,35,"James Collins, G",BSC,27,13.0,2.6,6,70,151,0.464,44,84.0,0.524,1.49,0.634
995,36,"Chris Riouse, G",ORU,25,7.8,2.2,5,55,119,0.462,10,24.0,0.417,1.36,0.647
996,37,"Kyle Anslinger, G",EVAN,29,10.0,2.1,4,60,130,0.462,38,91.0,0.418,1.31,0.579
997,38,"Ryan Baumgartner, G",IDST,26,3.9,0.9,2,24,52,0.462,9,22.0,0.409,1.38,0.608
998,39,"Josh Shipp, G-F",UCLA,4,11.3,1.5,3,6,13,0.462,10,26.0,0.385,1.15,0.487
999,40,"Seth Colclasure, G",VALP,29,8.6,2.0,4,58,126,0.46,26,42.0,0.619,1.49,0.673
1000,41,"Josh Goodwin, G",BEL,30,12.5,2.7,6,81,176,0.46,33,61.0,0.541,1.58,0.652
1001,42,"Lee Humphrey, G",FLA,32,10.6,2.8,6,91,198,0.46,26,46.0,0.565,1.39,0.666
1002,43,"Johnnie Bryant, G",UTAH,29,13.1,2.3,5,68,148,0.459,66,146.0,0.452,1.3,0.571
1003,44,"Jason Wingate, G",MAN,28,13.1,1.4,3,39,85,0.459,63,169.0,0.373,1.44,0.478
1004,45,"Wes Miller, G",UNC,29,7.3,2.1,5,61,133,0.459,6,15.0,0.4,1.44,0.659
1005,46,"B.J. Spencer, G",JVST,27,15.2,3.0,7,82,179,0.458,59,115.0,0.513,1.39,0.619
1006,47,"Daniel Kickert, F",SMC,28,16.7,2.1,5,59,129,0.457,98,217.0,0.452,1.35,0.539
1007,48,"Dan Cage, G",VAN,28,5.7,1.1,3,32,70,0.457,17,39.0,0.436,1.47,0.596
