,RK,PLAYER,TEAM,GP,PPG,FGM,FGA,total_FGM,total_FGA,FG%,2PM,2PA,2P%,PPS,adj_FG%
732,13,"James Augustine, F-C",ILL,33,10.2,3.8,6.0,125,199,0.628,125,199,0.628,1.69,0.628
733,14,"Andrew Bogut, C",UTAH,32,20.7,8.1,12.9,260,414,0.628,253,394,0.642,1.6,0.636
734,15,"Michael Haney, F",EKY,30,13.5,5.6,9.0,169,270,0.626,168,266,0.632,1.5,0.628
735,16,"Aaron Andrews, C",MORG,28,11.3,5.0,8.0,140,224,0.625,140,224,0.625,1.42,0.625
736,17,"Eric Williams, C",WAKE,31,16.0,6.0,9.6,186,298,0.624,186,298,0.624,1.66,0.624
737,18,"Kyle Hines, F",UNCG,30,13.6,5.8,9.4,175,282,0.621,175,281,0.623,1.45,0.621
738,19,"Jermaine Spencer, F",NWST,32,8.1,3.6,5.8,114,184,0.62,114,184,0.62,1.41,0.62
739,20,"Carl Landry, F",PUR,25,18.2,6.4,10.4,160,259,0.618,156,241,0.647,1.76,0.625
740,21,"Tamarr Maclin, F",MOST,30,10.7,3.7,6.0,110,179,0.615,110,179,0.615,1.79,0.615
741,22,"Byron Burnett, C",FIU,29,7.3,3.2,5.2,92,150,0.613,92,150,0.613,1.42,0.613
742,23,"Quincy Davis, F-C",TULN,28,13.7,5.5,8.9,153,250,0.612,148,240,0.617,1.53,0.622
743,24,"Spencer Nelson, F",USU,31,16.4,5.6,9.1,173,283,0.611,163,246,0.663,1.79,0.629
744,25,"Eric Taylor, F-C",COR,27,11.1,4.5,7.4,121,199,0.608,121,199,0.608,1.5,0.608
745,26,"Josh Boone, F-C",CONN,29,12.7,4.9,8.0,141,232,0.608,141,232,0.608,1.58,0.608
746,27,"Cameron Robinson, F",LIP,28,7.3,3.0,5.0,85,140,0.607,85,137,0.62,1.46,0.607
747,28,"Mike Harris, F",RICE,30,20.5,7.8,12.8,233,384,0.607,227,356,0.638,1.6,0.615
748,29,"Corey Lamkin, F",AMCC,28,13.0,4.8,7.9,134,221,0.606,133,219,0.607,1.65,0.609
749,30,"Matt Nelson, C",CSU,27,15.8,5.7,9.4,153,253,0.605,153,253,0.605,1.69,0.605
750,31,"Kevin Bookout, F",OKLA,30,11.7,5.1,8.5,152,254,0.598,152,253,0.601,1.38,0.598
751,32,"Jason Osborne, F",SFU,28,12.5,5.3,8.9,149,249,0.598,149,249,0.598,1.41,0.598
752,33,"Joseph Jones, F-C",TAMU,28,12.4,4.5,7.5,126,211,0.597,125,208,0.601,1.64,0.6
753,34,"Brian Thornton, F",XAV,27,10.7,3.8,6.3,102,171,0.596,102,171,0.596,1.69,0.596
754,35,"Chudi Chinweze, F",TCU,8,11.1,4.4,7.4,35,59,0.593,35,59,0.593,1.51,0.593
755,36,"Steven Thomas, F",UTA,28,17.1,5.5,9.2,153,258,0.593,153,257,0.595,1.86,0.593
756,37,"Seamus Boxley, F",PRST,28,20.6,7.3,12.4,205,346,0.592,192,310,0.619,1.66,0.611
757,38,"Josh Almanson, F",BGSU,29,17.2,6.5,11.0,189,319,0.592,164,263,0.624,1.56,0.632
758,39,"Abdou Diame, F",JVST,9,6.3,2.9,4.9,26,44,0.591,25,42,0.595,1.3,0.602
759,40,"Courtney Sims, C",MICH,31,9.8,3.8,6.5,118,200,0.59,117,195,0.6,1.53,0.593
760,41,"Andrea Crosariol, C",FDU,32,7.8,3.3,5.6,105,178,0.59,105,178,0.59,1.4,0.59
761,42,"Shelden Williams, F",DUKE,30,15.6,5.9,10.1,178,302,0.589,178,302,0.589,1.55,0.589
762,43,"Brandon Polk, F",BUT,28,13.6,5.4,9.2,152,258,0.589,151,254,0.594,1.48,0.591
763,44,"Vili Morton, F",UCRV,12,16.5,6.1,10.3,73,124,0.589,73,124,0.589,1.6,0.589
764,45,"Derek Bell, F",LIU,28,8.4,3.5,6.0,99,169,0.586,99,168,0.589,1.39,0.586
765,46,"Yemi Nicholson, C",DEN,30,18.2,7.6,13.0,229,391,0.586,229,391,0.586,1.4,0.586
766,47,"Jamar Lewis, F-C",GRAM,26,8.5,3.3,5.7,86,147,0.585,86,145,0.593,1.51,0.585
767,48,"Andrew Strait, F-C",MONT,29,8.4,3.2,5.5,93,159,0.585,92,151,0.609,1.54,0.588
768,49,"Carlton Aaron, C",UMKC,28,14.6,5.9,10.1,166,284,0.585,166,284,0.585,1.44,0.585
769,50,"John Baumann, F",CLMB,12,7.3,2.9,5.0,35,60,0.583,34,55,0.618,1.45,0.592
770,51,"Chris McNaughton, C",BUCK,31,12.2,4.8,8.2,148,254,0.583,148,253,0.585,1.49,0.583
771,52,"Guillaume Yango, F-C",PAC,29,13.1,4.7,8.0,135,232,0.582,135,232,0.582,1.64,0.582
772,53,"Kirk Archibeque, C",UNCO,29,12.2,4.7,8.1,136,234,0.581,136,233,0.584,1.51,0.581
773,54,"Jasper Johnson, C",USM,17,15.1,5.6,9.6,95,164,0.579,93,158,0.589,1.57,0.585
774,55,"Florentino Valencia, F",TOL,28,9.9,3.9,6.8,110,190,0.579,110,190,0.579,1.46,0.579
775,56,"Aaron Patterson, F",EIU,28,7.2,3.0,5.3,85,147,0.578,85,147,0.578,1.37,0.578
776,57,"Mustafa Al-Sayyad, C",FRES,30,10.9,4.3,7.5,130,225,0.578,129,224,0.576,1.45,0.58
777,58,"Chris Taft, F",PITT,28,13.3,5.5,9.5,154,267,0.577,154,267,0.577,1.4,0.577
778,59,"Chevon Troutman, F",PITT,28,15.1,5.3,9.2,148,257,0.576,142,243,0.584,1.64,0.588
779,60,"Eric Coleman, C",UNI,31,10.8,4.5,7.9,141,245,0.576,141,245,0.576,1.36,0.576
780,61,"Paul Millsap, F",LT,29,20.4,7.8,13.5,225,391,0.575,225,390,0.577,1.52,0.575
781,62,"Terrence Roberts, F",SYR,32,7.2,2.9,5.0,92,160,0.575,90,153,0.588,1.44,0.581
782,63,"Simon Conn, C",WEBB,30,14.2,5.8,10.0,173,301,0.575,169,279,0.606,1.41,0.581
783,64,"Justin Cage, F",XAV,29,11.1,3.9,6.7,112,195,0.574,106,176,0.602,1.65,0.59
784,65,"Terence Dials, F-C",OSU,32,15.9,6.2,10.8,198,345,0.574,198,344,0.576,1.48,0.574
785,66,"D.J. White, F",IND,28,13.6,5.0,8.7,140,244,0.574,140,244,0.574,1.56,0.574
786,67,"Ike Diogu, F-C",ASU,31,22.4,7.1,12.3,219,382,0.573,202,338,0.598,1.82,0.596
787,68,"Ivan McFarlin, F",OKST,30,11.6,4.4,7.7,133,232,0.573,131,230,0.57,1.5,0.578
788,69,"Wesley Duke, F",MER,28,11.5,3.8,6.6,106,185,0.573,106,185,0.573,1.74,0.573
789,70,"Brent Petway, F",MICH,29,7.1,3.0,5.2,87,152,0.572,86,147,0.585,1.36,0.576
790,71,"Adam Warren, G",DART,1,9.0,4.0,7.0,4,7,0.571,4,7,0.571,1.29,0.571
791,72,"Justin Williams, F-C",WYO,28,8.9,3.5,6.1,97,170,0.571,97,170,0.571,1.46,0.571
792,73,"David Anderson, F",MRSH,28,8.9,3.2,5.6,89,156,0.571,89,154,0.578,1.6,0.571
793,74,"Ben Sturgill, C",UNH,27,13.6,5.6,9.8,151,265,0.57,151,265,0.57,1.38,0.57
794,75,"Kevin Steenberge, C",RICH,29,12.6,5.0,8.7,144,253,0.569,144,252,0.571,1.45,0.569
795,76,"Craig Walls, F",UNH,28,7.8,3.4,6.0,95,167,0.569,95,167,0.569,1.31,0.569
796,77,"Jeffrey Simpson, C",UNT,28,7.7,3.1,5.5,87,153,0.569,87,153,0.569,1.41,0.569
797,78,"Paul Davis, C",MSU,27,11.8,4.8,8.4,129,227,0.568,128,220,0.582,1.4,0.57
798,79,"Andre Patterson, F",TENN,31,7.4,3.1,5.5,96,169,0.568,95,167,0.569,1.36,0.571
799,80,"Peter Cipriano, F",SOU,29,10.1,4.3,7.7,126,222,0.568,125,217,0.576,1.32,0.57
800,81,"Josh Pace, G-F",SYR,33,10.9,5.0,8.8,165,291,0.567,165,288,0.573,1.24,0.567
801,82,"Jackson Atoyebi, F",ELON,4,14.0,4.3,7.5,17,30,0.567,17,30,0.567,1.87,0.567
802,83,"Chuck Davis, F",ALA,31,14.1,4.9,8.6,151,267,0.566,149,252,0.591,1.63,0.569
803,84,"Alan Anderson, G-F",MSU,28,13.6,4.8,8.5,134,237,0.565,114,180,0.633,1.61,0.608
804,85,"Pops Mensah-Bonsu, F",GW,29,12.6,4.6,8.2,134,237,0.565,134,237,0.565,1.54,0.565
805,86,"Taj Gray, F",OKLA,31,14.5,5.4,9.6,168,298,0.564,168,298,0.564,1.51,0.564
806,87,"Eulis Baez, F",WIU,28,15.3,5.5,9.8,155,275,0.564,148,261,0.567,1.56,0.576
807,88,"Jamaal Williams, F",WASH,31,9.6,4.2,7.4,129,229,0.563,129,228,0.566,1.3,0.563
808,89,"Ricky Woods, F",SELA,32,17.2,6.6,11.7,210,373,0.563,209,369,0.566,1.47,0.564
809,90,"Caleb Green, F",ORU,32,19.3,6.4,11.4,206,366,0.563,206,365,0.564,1.68,0.563
810,91,"Deji Akindele, C",CHS,28,12.0,4.6,8.3,130,231,0.563,130,230,0.565,1.46,0.563
811,92,"Eric Castro, F",SMU,28,14.2,5.9,10.5,166,295,0.563,166,295,0.563,1.35,0.563
812,93,"Dupree Fletcher, G",EVAN,3,8.3,3.0,5.3,9,16,0.563,4,5,0.8,1.56,0.719
813,94,"Benito Flores, F",GB,28,13.4,5.3,9.5,149,265,0.562,129,210,0.614,1.42,0.6
814,95,"Anthony Williams, F",UCF,32,11.2,4.3,7.6,136,242,0.562,136,241,0.564,1.48,0.562
815,96,"Otis Daniels, F",WIN,31,8.2,3.1,5.5,96,171,0.561,91,157,0.58,1.49,0.576
816,97,"Tommie Eddie, F-C",MISS,30,11.3,4.3,7.7,130,232,0.56,128,229,0.559,1.47,0.565
817,98,"Brandon Bass, F",LSU,29,17.1,6.0,10.7,173,309,0.56,161,284,0.567,1.6,0.579
818,99,"Roger Powell Jr., F",ILL,33,12.1,4.5,8.0,147,263,0.559,132,222,0.595,1.52,0.587
819,100,"Leo Lightbourne, F",LIB,28,10.4,3.9,7.0,110,197,0.558,104,176,0.591,1.48,0.574
820,101,"Adrian Tigert, F",MILW,29,9.2,3.3,5.9,96,172,0.558,72,108,0.667,1.55,0.628
821,102,"Greg Jenkins, F-C",IONA,30,15.7,5.8,10.3,173,310,0.558,173,310,0.558,1.52,0.558
822,103,"Patrick O'Bryant, C",BRAD,27,10.0,4.0,7.2,108,194,0.557,108,194,0.557,1.39,0.557
823,104,"Carlos Powell, F",SC,28,16.2,6.5,11.8,183,329,0.556,177,301,0.588,1.38,0.565
824,105,"James Hughes, C",NIU,28,9.4,3.9,7.0,109,196,0.556,109,196,0.556,1.34,0.556
825,106,"Dillion Sneed, F",ETSU,29,9.7,3.8,6.9,111,200,0.555,111,199,0.558,1.41,0.555
826,107,"Brandon Roy, G",WASH,23,12.4,4.9,8.8,112,202,0.554,106,186,0.57,1.42,0.569
827,108,"Shawn Witherspoon, F",MURR,27,9.6,4.0,7.1,107,193,0.554,82,128,0.641,1.34,0.619
828,109,"Matt Williams, F",CSU,23,11.9,4.4,8.0,102,184,0.554,102,183,0.557,1.49,0.554
829,110,"Mindaugas Katelynas, F",CHAT,30,12.0,4.4,8.0,133,240,0.554,114,195,0.585,1.5,0.594
830,111,"Jason Smith, F",CSU,26,10.5,4.0,7.2,103,186,0.554,100,174,0.575,1.47,0.562
831,112,"Brandon Crump, F",TENN,27,11.3,4.6,8.3,124,224,0.554,114,205,0.556,1.37,0.576
832,113,"David Paris, F",CAL,28,7.2,2.8,5.0,78,141,0.553,76,139,0.547,1.43,0.56
833,114,"Obie Nwadike, F",CCSU,23,11.2,3.9,7.1,90,163,0.552,90,163,0.552,1.58,0.552
834,115,"Anthony Dill, F",TXST,27,14.9,5.7,10.3,154,279,0.552,153,278,0.55,1.44,0.554
835,116,"Cleve Woodfork, C",UTM,27,12.0,4.6,8.3,124,225,0.551,124,225,0.551,1.44,0.551
836,117,"Joey Henley, F",SHU,27,12.3,4.8,8.7,130,236,0.551,130,234,0.556,1.41,0.551
837,118,"Steve Castleberry, C",RID,30,8.3,3.4,6.2,103,187,0.551,103,187,0.551,1.34,0.551
838,119,"Larry Owens, F",ORU,32,9.2,3.9,7.1,125,227,0.551,118,204,0.578,1.3,0.566
839,120,"David Chiotti, F",UNM,32,10.5,4.0,7.2,127,231,0.55,126,227,0.555,1.46,0.552
840,1,"LaMarcus Aldridge, F",TEX,16,9.9,3.6,5.4,57,86,0.663,57,86,0.663,1.84,0.663
841,2,"Bruce Brown, C",HAMP,30,14.3,5.9,9.0,178,269,0.662,178,269,0.662,1.59,0.662
842,3,"Nate Harris, F",USU,31,13.0,5.4,8.2,166,254,0.654,164,247,0.664,1.59,0.657
843,4,"Alonzo Hird, F",EKY,30,9.3,3.7,5.7,111,170,0.653,111,169,0.657,1.64,0.653
844,5,"Leon Williams, F",OHIO,31,12.0,4.6,7.1,142,219,0.648,142,219,0.648,1.7,0.648
845,6,"Elgrace Wilborn, F-C",WKU,27,9.4,4.4,6.8,118,183,0.645,118,181,0.652,1.39,0.645
846,7,"Shawn James, F-C",NE,24,10.2,4.0,6.3,96,150,0.64,91,138,0.659,1.63,0.657
847,8,"Alioune Beye, C",MTST,19,8.5,3.9,6.2,75,118,0.636,75,118,0.636,1.36,0.636
848,9,"J.P. Batista, F-C",GONZ,27,12.5,4.7,7.5,128,202,0.634,121,190,0.637,1.67,0.651
849,10,"Calvin Brown, C",NORF,27,9.8,3.7,5.8,99,157,0.631,99,157,0.631,1.68,0.631
850,11,"Antoine 'Slim' Millien, F-C",IDST,27,11.8,4.3,6.8,116,184,0.63,116,182,0.637,1.73,0.63
851,12,"Chad McKnight, F",MORE,27,16.9,5.7,9.1,155,246,0.63,155,246,0.63,1.85,0.63
852,13,"James Augustine, F-C",ILL,33,10.2,3.8,6.0,125,199,0.628,125,199,0.628,1.69,0.628
853,14,"Andrew Bogut, C",UTAH,32,20.7,8.1,12.9,260,414,0.628,253,394,0.642,1.6,0.636
854,15,"Michael Haney, F",EKY,30,13.5,5.6,9.0,169,270,0.626,168,266,0.632,1.5,0.628
855,16,"Aaron Andrews, C",MORG,28,11.3,5.0,8.0,140,224,0.625,140,224,0.625,1.42,0.625
856,17,"Eric Williams, C",WAKE,31,16.0,6.0,9.6,186,298,0.624,186,298,0.624,1.66,0.624
857,18,"Kyle Hines, F",UNCG,30,13.6,5.8,9.4,175,282,0.621,175,281,0.623,1.45,0.621
858,19,"Jermaine Spencer, F",NWST,32,8.1,3.6,5.8,114,184,0.62,114,184,0.62,1.41,0.62
859,20,"Carl Landry, F",PUR,25,18.2,6.4,10.4,160,259,0.618,156,241,0.647,1.76,0.625
860,21,"Tamarr Maclin, F",MOST,30,10.7,3.7,6.0,110,179,0.615,110,179,0.615,1.79,0.615
861,22,"Byron Burnett, C",FIU,29,7.3,3.2,5.2,92,150,0.613,92,150,0.613,1.42,0.613
862,23,"Quincy Davis, F-C",TULN,28,13.7,5.5,8.9,153,250,0.612,148,240,0.617,1.53,0.622
863,24,"Spencer Nelson, F",USU,31,16.4,5.6,9.1,173,283,0.611,163,246,0.663,1.79,0.629
864,25,"Eric Taylor, F-C",COR,27,11.1,4.5,7.4,121,199,0.608,121,199,0.608,1.5,0.608
865,26,"Josh Boone, F-C",CONN,29,12.7,4.9,8.0,141,232,0.608,141,232,0.608,1.58,0.608
866,27,"Cameron Robinson, F",LIP,28,7.3,3.0,5.0,85,140,0.607,85,137,0.62,1.46,0.607
867,28,"Mike Harris, F",RICE,30,20.5,7.8,12.8,233,384,0.607,227,356,0.638,1.6,0.615
868,29,"Corey Lamkin, F",AMCC,28,13.0,4.8,7.9,134,221,0.606,133,219,0.607,1.65,0.609
869,30,"Matt Nelson, C",CSU,27,15.8,5.7,9.4,153,253,0.605,153,253,0.605,1.69,0.605
870,31,"Kevin Bookout, F",OKLA,30,11.7,5.1,8.5,152,254,0.598,152,253,0.601,1.38,0.598
871,32,"Jason Osborne, F",SFU,28,12.5,5.3,8.9,149,249,0.598,149,249,0.598,1.41,0.598
872,33,"Joseph Jones, F-C",TAMU,28,12.4,4.5,7.5,126,211,0.597,125,208,0.601,1.64,0.6
873,34,"Brian Thornton, F",XAV,27,10.7,3.8,6.3,102,171,0.596,102,171,0.596,1.69,0.596
874,35,"Chudi Chinweze, F",TCU,8,11.1,4.4,7.4,35,59,0.593,35,59,0.593,1.51,0.593
875,36,"Steven Thomas, F",UTA,28,17.1,5.5,9.2,153,258,0.593,153,257,0.595,1.86,0.593
876,37,"Seamus Boxley, F",PRST,28,20.6,7.3,12.4,205,346,0.592,192,310,0.619,1.66,0.611
877,38,"Josh Almanson, F",BGSU,29,17.2,6.5,11.0,189,319,0.592,164,263,0.624,1.56,0.632
878,39,"Abdou Diame, F",JVST,9,6.3,2.9,4.9,26,44,0.591,25,42,0.595,1.3,0.602
879,40,"Courtney Sims, C",MICH,31,9.8,3.8,6.5,118,200,0.59,117,195,0.6,1.53,0.593
880,41,"LaMarcus Aldridge, F",TEX,16,9.9,3.6,5.4,57,86,0.663,57,86,0.663,1.84,0.663
881,42,"Bruce Brown, C",HAMP,30,14.3,5.9,9.0,178,269,0.662,178,269,0.662,1.59,0.662
882,43,"Nate Harris, F",USU,31,13.0,5.4,8.2,166,254,0.654,164,247,0.664,1.59,0.657
883,44,"Alonzo Hird, F",EKY,30,9.3,3.7,5.7,111,170,0.653,111,169,0.657,1.64,0.653
884,45,"Leon Williams, F",OHIO,31,12.0,4.6,7.1,142,219,0.648,142,219,0.648,1.7,0.648
885,46,"Elgrace Wilborn, F-C",WKU,27,9.4,4.4,6.8,118,183,0.645,118,181,0.652,1.39,0.645
886,47,"Shawn James, F-C",NE,24,10.2,4.0,6.3,96,150,0.64,91,138,0.659,1.63,0.657
887,48,"Alioune Beye, C",MTST,19,8.5,3.9,6.2,75,118,0.636,75,118,0.636,1.36,0.636
888,49,"J.P. Batista, F-C",GONZ,27,12.5,4.7,7.5,128,202,0.634,121,190,0.637,1.67,0.651
889,50,"Calvin Brown, C",NORF,27,9.8,3.7,5.8,99,157,0.631,99,157,0.631,1.68,0.631
890,51,"Antoine 'Slim' Millien, F-C",IDST,27,11.8,4.3,6.8,116,184,0.63,116,182,0.637,1.73,0.63
891,52,"Chad McKnight, F",MORE,27,16.9,5.7,9.1,155,246,0.63,155,246,0.63,1.85,0.63
892,53,"James Augustine, F-C",ILL,33,10.2,3.8,6.0,125,199,0.628,125,199,0.628,1.69,0.628
893,54,"Andrew Bogut, C",UTAH,32,20.7,8.1,12.9,260,414,0.628,253,394,0.642,1.6,0.636
894,55,"Michael Haney, F",EKY,30,13.5,5.6,9.0,169,270,0.626,168,266,0.632,1.5,0.628
895,56,"Aaron Andrews, C",MORG,28,11.3,5.0,8.0,140,224,0.625,140,224,0.625,1.42,0.625
896,57,"Eric Williams, C",WAKE,31,16.0,6.0,9.6,186,298,0.624,186,298,0.624,1.66,0.624
897,58,"Kyle Hines, F",UNCG,30,13.6,5.8,9.4,175,282,0.621,175,281,0.623,1.45,0.621
898,59,"Jermaine Spencer, F",NWST,32,8.1,3.6,5.8,114,184,0.62,114,184,0.62,1.41,0.62
899,60,"Carl Landry, F",PUR,25,18.2,6.4,10.4,160,259,0.618,156,241,0.647,1.76,0.625
900,61,"Tamarr Maclin, F",MOST,30,10.7,3.7,6.0,110,179,0.615,110,179,0.615,1.79,0.615
901,62,"Byron Burnett, C",FIU,29,7.3,3.2,5.2,92,150,0.613,92,150,0.613,1.42,0.613
902,63,"Quincy Davis, F-C",TULN,28,13.7,5.5,8.9,153,250,0.612,148,240,0.617,1.53,0.622
903,64,"Spencer Nelson, F",USU,31,16.4,5.6,9.1,173,283,0.611,163,246,0.663,1.79,0.629
904,65,"Eric Taylor, F-C",COR,27,11.1,4.5,7.4,121,199,0.608,121,199,0.608,1.5,0.608
905,66,"Josh Boone, F-C",CONN,29,12.7,4.9,8.0,141,232,0.608,141,232,0.608,1.58,0.608
906,67,"Cameron Robinson, F",LIP,28,7.3,3.0,5.0,85,140,0.607,85,137,0.62,1.46,0.607
907,68,"Mike Harris, F",RICE,30,20.5,7.8,12.8,233,384,0.607,227,356,0.638,1.6,0.615
908,69,"Corey Lamkin, F",AMCC,28,13.0,4.8,7.9,134,221,0.606,133,219,0.607,1.65,0.609
909,70,"Matt Nelson, C",CSU,27,15.8,5.7,9.4,153,253,0.605,153,253,0.605,1.69,0.605
910,71,"Kevin Bookout, F",OKLA,30,11.7,5.1,8.5,152,254,0.598,152,253,0.601,1.38,0.598
911,72,"Jason Osborne, F",SFU,28,12.5,5.3,8.9,149,249,0.598,149,249,0.598,1.41,0.598
912,73,"Joseph Jones, F-C",TAMU,28,12.4,4.5,7.5,126,211,0.597,125,208,0.601,1.64,0.6
913,74,"Brian Thornton, F",XAV,27,10.7,3.8,6.3,102,171,0.596,102,171,0.596,1.69,0.596
914,75,"Chudi Chinweze, F",TCU,8,11.1,4.4,7.4,35,59,0.593,35,59,0.593,1.51,0.593
915,76,"Steven Thomas, F",UTA,28,17.1,5.5,9.2,153,258,0.593,153,257,0.595,1.86,0.593
916,77,"Seamus Boxley, F",PRST,28,20.6,7.3,12.4,205,346,0.592,192,310,0.619,1.66,0.611
917,78,"Josh Almanson, F",BGSU,29,17.2,6.5,11.0,189,319,0.592,164,263,0.624,1.56,0.632
918,79,"Abdou Diame, F",JVST,9,6.3,2.9,4.9,26,44,0.591,25,42,0.595,1.3,0.602
919,80,"Courtney Sims, C",MICH,31,9.8,3.8,6.5,118,200,0.59,117,195,0.6,1.53,0.593
920,81,"LaMarcus Aldridge, F",TEX,16,9.9,3.6,5.4,57,86,0.663,57,86,0.663,1.84,0.663
921,82,"Bruce Brown, C",HAMP,30,14.3,5.9,9.0,178,269,0.662,178,269,0.662,1.59,0.662
922,83,"Nate Harris, F",USU,31,13.0,5.4,8.2,166,254,0.654,164,247,0.664,1.59,0.657
923,84,"Alonzo Hird, F",EKY,30,9.3,3.7,5.7,111,170,0.653,111,169,0.657,1.64,0.653
924,85,"Leon Williams, F",OHIO,31,12.0,4.6,7.1,142,219,0.648,142,219,0.648,1.7,0.648
925,86,"Elgrace Wilborn, F-C",WKU,27,9.4,4.4,6.8,118,183,0.645,118,181,0.652,1.39,0.645
926,87,"Shawn James, F-C",NE,24,10.2,4.0,6.3,96,150,0.64,91,138,0.659,1.63,0.657
927,88,"Alioune Beye, C",MTST,19,8.5,3.9,6.2,75,118,0.636,75,118,0.636,1.36,0.636
928,89,"J.P. Batista, F-C",GONZ,27,12.5,4.7,7.5,128,202,0.634,121,190,0.637,1.67,0.651
929,90,"Calvin Brown, C",NORF,27,9.8,3.7,5.8,99,157,0.631,99,157,0.631,1.68,0.631
930,91,"Antoine 'Slim' Millien, F-C",IDST,27,11.8,4.3,6.8,116,184,0.63,116,182,0.637,1.73,0.63
931,92,"Chad McKnight, F",MORE,27,16.9,5.7,9.1,155,246,0.63,155,246,0.63,1.85,0.63
932,93,"James Augustine, F-C",ILL,33,10.2,3.8,6.0,125,199,0.628,125,199,0.628,1.69,0.628
933,94,"Andrew Bogut, C",UTAH,32,20.7,8.1,12.9,260,414,0.628,253,394,0.642,1.6,0.636
934,95,"Michael Haney, F",EKY,30,13.5,5.6,9.0,169,270,0.626,168,266,0.632,1.5,0.628
935,96,"Aaron Andrews, C",MORG,28,11.3,5.0,8.0,140,224,0.625,140,224,0.625,1.42,0.625
936,97,"Eric Williams, C",WAKE,31,16.0,6.0,9.6,186,298,0.624,186,298,0.624,1.66,0.624
937,98,"Kyle Hines, F",UNCG,30,13.6,5.8,9.4,175,282,0.621,175,281,0.623,1.45,0.621
938,99,"Jermaine Spencer, F",NWST,32,8.1,3.6,5.8,114,184,0.62,114,184,0.62,1.41,0.62
939,100,"Carl Landry, F",PUR,25,18.2,6.4,10.4,160,259,0.618,156,241,0.647,1.76,0.625
940,101,"Tamarr Maclin, F",MOST,30,10.7,3.7,6.0,110,179,0.615,110,179,0.615,1.79,0.615
941,102,"Byron Burnett, C",FIU,29,7.3,3.2,5.2,92,150,0.613,92,150,0.613,1.42,0.613
942,103,"Quincy Davis, F-C",TULN,28,13.7,5.5,8.9,153,250,0.612,148,240,0.617,1.53,0.622
943,104,"Spencer Nelson, F",USU,31,16.4,5.6,9.1,173,283,0.611,163,246,0.663,1.79,0.629
944,105,"Eric Taylor, F-C",COR,27,11.1,4.5,7.4,121,199,0.608,121,199,0.608,1.5,0.608
945,106,"Josh Boone, F-C",CONN,29,12.7,4.9,8.0,141,232,0.608,141,232,0.608,1.58,0.608
946,107,"Cameron Robinson, F",LIP,28,7.3,3.0,5.0,85,140,0.607,85,137,0.62,1.46,0.607
947,108,"Mike Harris, F",RICE,30,20.5,7.8,12.8,233,384,0.607,227,356,0.638,1.6,0.615
948,109,"Corey Lamkin, F",AMCC,28,13.0,4.8,7.9,134,221,0.606,133,219,0.607,1.65,0.609
949,110,"Matt Nelson, C",CSU,27,15.8,5.7,9.4,153,253,0.605,153,253,0.605,1.69,0.605
950,111,"Kevin Bookout, F",OKLA,30,11.7,5.1,8.5,152,254,0.598,152,253,0.601,1.38,0.598
951,112,"Jason Osborne, F",SFU,28,12.5,5.3,8.9,149,249,0.598,149,249,0.598,1.41,0.598
952,113,"Joseph Jones, F-C",TAMU,28,12.4,4.5,7.5,126,211,0.597,125,208,0.601,1.64,0.6
953,114,"Brian Thornton, F",XAV,27,10.7,3.8,6.3,102,171,0.596,102,171,0.596,1.69,0.596
954,115,"Chudi Chinweze, F",TCU,8,11.1,4.4,7.4,35,59,0.593,35,59,0.593,1.51,0.593
955,116,"Steven Thomas, F",UTA,28,17.1,5.5,9.2,153,258,0.593,153,257,0.595,1.86,0.593
956,117,"Seamus Boxley, F",PRST,28,20.6,7.3,12.4,205,346,0.592,192,310,0.619,1.66,0.611
957,118,"Josh Almanson, F",BGSU,29,17.2,6.5,11.0,189,319,0.592,164,263,0.624,1.56,0.632
958,119,"Abdou Diame, F",JVST,9,6.3,2.9,4.9,26,44,0.591,25,42,0.595,1.3,0.602
959,120,"Courtney Sims, C",MICH,31,9.8,3.8,6.5,118,200,0.59,117,195,0.6,1.53,0.593
960,1,"Sredrick Powe, F-C",BSC,28,10.5,4.0,5.7,111,159,0.698,111,159,0.698,1.86,0.698
961,2,"Randall Hanke, F-C",PROV,27,13.0,5.5,8.1,149,220,0.677,149,220,0.677,1.6,0.677
962,3,"Elgrace Wilborn, F-C",WKU,29,8.5,3.7,5.4,107,158,0.677,107,158,0.677,1.56,0.677
963,4,"Cedric Smith, F",AMCC,27,12.9,5.1,7.8,139,210,0.662,138,206,0.67,1.66,0.664
964,5,"Florentino Valencia, F",TOL,31,12.0,4.7,7.1,145,220,0.659,145,220,0.659,1.69,0.659
965,6,"Kyle Young, F-C",MTSU,28,8.7,3.9,5.9,108,166,0.651,108,166,0.651,1.46,0.651
966,7,"Matt Murrer, F",VMI,27,12.7,4.8,7.4,130,200,0.65,105,138,0.761,1.72,0.713
967,8,"Joakim Noah, F-C",FLA,33,13.8,5.1,7.9,169,262,0.645,169,262,0.645,1.74,0.645
968,9,"Brian Thornton, F",XAV,21,15.3,5.4,8.5,114,178,0.64,114,178,0.64,1.81,0.64
969,10,"Dillion Sneed, F",ETSU,28,11.3,4.7,7.3,131,205,0.639,131,204,0.642,1.55,0.639
970,11,"Andrea Crosariol, C",FDU,31,11.4,4.6,7.2,143,224,0.638,143,223,0.641,1.57,0.638
971,12,"Gyno Pomare, F",USD,30,10.4,4.4,7.0,133,210,0.633,133,210,0.633,1.48,0.633
